Message,Code,Lines,Complexity
Adds support for type-parameterized tests (by Zhanyong Wan); also adds case-insensitive wide string comparison to the String class (by Vlad Losev).," class GTestNCTest(unittest.TestCase):
 ('CATCHES_CALLING_SETUP_IN_ENVIRONMENT_WITH_TYPO',
 [r'Setup_should_be_spelled_SetUp']),
 
+ ('CATCHES_WRONG_CASE_IN_TYPED_TEST_P',
+ [r'BarTest.*was not declared']),
+
+ ('CATCHES_WRONG_CASE_IN_REGISTER_TYPED_TEST_CASE_P',
+ [r'BarTest.*was not declared']),
+
+ ('CATCHES_WRONG_CASE_IN_INSTANTIATE_TYPED_TEST_CASE_P',
+ [r'BarTest.*not declared']),
+
+ ('CATCHES_INSTANTIATE_TYPED_TESET_CASE_P_WITH_SAME_NAME_PREFIX',
+ [r'redefinition of.*My.*FooTest']),
+
 ('SANITY',
 None)
 ]
",34,1
Improves thread-safe death tests by changing to the original working directory before they are executed; also fixes out-dated comments about death tests.," class UnitTest {
 // INTERNAL IMPLEMENTATION - DO NOT USE IN A USER PROGRAM.
 int Run() GTEST_MUST_USE_RESULT;
 
+ // Returns the working directory when the first TEST() or TEST_F()
+ // was executed. The UnitTest object owns the string.
+ const char* original_working_dir() const;
+
 // Returns the TestCase object for the test that's currently running,
 // or NULL if no test is running.
 const TestCase* current_test_case() const;
",308,29
Makes Google Test compile (and all tests pass) on cygwin (possibly on wingw too).," bool String::CaseInsensitiveWideCStringEquals(const wchar_t* lhs,
 
 #ifdef GTEST_OS_WINDOWS
 return _wcsicmp(lhs, rhs) == 0;
-#elif defined(GTEST_OS_MAC)
- // Mac OS X doesn't define wcscasecmp.
+#elif defined(GTEST_OS_LINUX)
+ return wcscasecmp(lhs, rhs) == 0;
+#else
+ // Mac OS X and Cygwin don't define wcscasecmp. Other unknown OSes
+ // may not define it either.
 wint_t left, right;
 do {
 left = towlower(*lhs++);
 right = towlower(*rhs++);
 } while (left && left == right);
 return left == right;
-#else
- return wcscasecmp(lhs, rhs) == 0;
 #endif // OS selector
 }
 
",2173,507
Makes the Python tests more portable by calling standard functions to interpret the result of os.system(). This could fix the broken Python tests on some users' machines.," def Run(command):
 """"""
 
 exit_code = os.system(command)
- # On Unix-like systems, the lowest 8 bits of the exit code is the
- # signal number that killed the process (or 0 if it wasn't killed by
- # a signal).
- return (exit_code & 255) != 0
+ return os.WIFSIGNALED(exit_code)
 
 
 # The unit test.
",86,13
"Lots of changes:
* changes the XML report format to match JUnit/Ant's.
* improves file path handling.
* allows the user to disable RTTI using the GTEST_HAS_RTTI macro.
* makes the code compile with -Wswitch-enum."," struct AssertTypeEq<T, T> {
 // GetTypeName<T>() returns a human-readable name of type T.
 template <typename T>
 String GetTypeName() {
+#if GTEST_HAS_RTTI
+
 const char* const name = typeid(T).name();
 #ifdef __GNUC__
 int status = 0;
 String GetTypeName() {
 #else
 return name;
 #endif // __GNUC__
+
+#else
+ return ""<type>"";
+#endif // GTEST_HAS_RTTI
 }
 
 // A unique type used as the default value for the arguments of class
",3061,4
"On some Linux distros, you need to explicitly #include <limits.h> to get
the definition of PATH_MAX. This patch adds it in the appropriate place.","
 #include <sys/syslimits.h>
 #include <unistd.h>
 #else
+#include <limits.h>
 #include <sys/stat.h>
 #include <unistd.h>
 #endif // _WIN32_WCE or _WIN32
",159,52
Makes Google Test compile on Solaris and z/OS. By Rainer Klaffenboeck.,"
 #include <limits.h>
 #include <sys/stat.h>
 #include <unistd.h>
-#endif // _WIN32_WCE or _WIN32
+#endif // _WIN32_WCE or _WIN32
+
+#ifdef GTEST_OS_WINDOWS
+#define GTEST_PATH_MAX_ _MAX_PATH
+#elif defined(PATH_MAX)
+#define GTEST_PATH_MAX_ PATH_MAX
+#elif defined(_XOPEN_PATH_MAX)
+#define GTEST_PATH_MAX_ _XOPEN_PATH_MAX
+#else
+#define GTEST_PATH_MAX_ _POSIX_PATH_MAX
+#endif // GTEST_OS_WINDOWS
 
 #include <gtest/internal/gtest-string.h>
 
 FilePath FilePath::GetCurrentDir() {
 // something reasonable.
 return FilePath(kCurrentDirectoryString);
 #elif defined(GTEST_OS_WINDOWS)
- char cwd[_MAX_PATH + 1] = {};
+ char cwd[GTEST_PATH_MAX_ + 1] = {};
 return FilePath(_getcwd(cwd, sizeof(cwd)) == NULL ? """" : cwd);
 #else
- char cwd[PATH_MAX + 1] = {};
+ char cwd[GTEST_PATH_MAX_ + 1] = {};
 return FilePath(getcwd(cwd, sizeof(cwd)) == NULL ? """" : cwd);
 #endif
 }
",159,52
Clarifies how gtest supports different platforms in README and code comments.,"
 // GTEST_OS_WINDOWS - defined iff compiled on Windows.
 // GTEST_OS_ZOS - defined iff compiled on IBM z/OS.
 //
+// Among the platforms, Cygwin, Linux, Max OS X, and Windows have the
+// most stable support. Since core members of the Google Test project
+// don't have access to other platforms, support for them may be less
+// stable. If you notice any problems on your platform, please notify
+// googletestframework@googlegroups.com (patches for fixing them are
+// even more welcome!).
+//
 // Note that it is possible that none of the GTEST_OS_ macros are defined.
 //
 // Macros indicating available Google Test features:
",152,32
Value-parameterized tests and many bugfixes,"
 
 #include ""sample2.h""
 
+#include <string.h>
+
 // Clones a 0-terminated C string, allocating memory using new.
 const char * MyString::CloneCString(const char * c_string) {
 if (c_string == NULL) return NULL;
 
 const size_t len = strlen(c_string);
 char * const clone = new char[ len + 1 ];
- strcpy(clone, c_string);
+ memcpy(clone, c_string, len + 1);
 
 return clone;
 }
",14,3
Fixed two of the failing tests mentioned in issue 9," def GetExitStatus(exit_code):
 return -1
 
 
+def RunCommandSuppressOutput(command, working_dir=None):
+ """"""Changes into a specified directory, if provided, and executes a command.
+ Restores the old directory afterwards.
+
+ Args:
+ command: A command to run.
+ working_dir: A directory to change into.
+ """"""
+
+ old_dir = None
+ try:
+ if working_dir is not None:
+ old_dir = os.getcwd()
+ os.chdir(working_dir)
+ f = os.popen(command, 'r')
+ f.read()
+ ret_code = f.close()
+ finally:
+ if old_dir is not None:
+ os.chdir(old_dir)
+ if ret_code is None:
+ ret_code = 0
+ return ret_code
+
+
 def Main():
 """"""Runs the unit test.""""""
 
",58,18
Enables the Python tests to run with 2.3 (necessary for testing on Mac OS X Tiger); also fixes gtest_output_test when built with xcode.," GTEST_DECLARE_bool_(show_internal_stack_frames);
 
 namespace internal {
 
+// The value of GetTestTypeId() as seen from within the Google Test
+// library. This is solely for testing GetTestTypeId().
+extern const TypeId kTestTypeIdInGoogleTest;
+
 // Names of the flags (needed for parsing Google Test flags).
 const char kBreakOnFailureFlag[] = ""break_on_failure"";
 const char kCatchExceptionsFlag[] = ""catch_exceptions"";
",547,114
Fixed gtest_break_on_failure_unittest on Ubuntu 8.04 and Windows,"
 
 #include <gtest/gtest.h>
 
+#ifdef GTEST_OS_WINDOWS
+#include <windows.h>
+#endif
 
 namespace {
 
 TEST(Foo, Bar) {
 
 
 int main(int argc, char **argv) {
+#ifdef GTEST_OS_WINDOWS
+ // Suppresses display of the Windows error dialog upon encountering
+ // a general protection fault (segment violation).
+ SetErrorMode(SEM_NOGPFAULTERRORBOX | SEM_FAILCRITICALERRORS);
+#endif
 testing::InitGoogleTest(&argc, argv);
 
 return RUN_ALL_TESTS();
",12,3
Adding test/gtest_uninitialized_test.py missing from the previous check-in," def AssertEq(expected, actual):
 raise AssertionError
 
 
-def GetOutput(command):
- """"""Runs the given command and returns its output.""""""
-
- stdin, stdout = os.popen2(command, 't')
- stdin.close()
- output = stdout.read()
- stdout.close()
- return output
-
-
 def TestExitCodeAndOutput(command):
 """"""Runs the given command and verifies its exit code and output.""""""
 
 # Verifies that 'command' exits with code 1.
- AssertEq(1, gtest_test_utils.GetExitStatus(os.system(command)))
-
- output = GetOutput(command)
- Assert('InitGoogleTest' in output)
+ p = gtest_test_utils.Subprocess(command)
+ Assert(p.exited)
+ AssertEq(1, p.exit_code)
+ Assert('InitGoogleTest' in p.output)
 
 
 if IS_WINDOWS:
",47,8
Allow Google Mock to initialize Google Test," inline Environment* AddGlobalTestEnvironment(Environment* env) {
 //
 // No value is returned. Instead, the Google Test flag variables are
 // updated.
+//
+// Calling the function for the second time has no user-visible effect.
 void InitGoogleTest(int* argc, char** argv);
 
 // This overloaded version can be used in Windows programs compiled in
 // UNICODE mode.
-#ifdef GTEST_OS_WINDOWS
 void InitGoogleTest(int* argc, wchar_t** argv);
-#endif // GTEST_OS_WINDOWS
 
 namespace internal {
 
",320,31
Fixes compatibility with IBM z/OS. By Rainer Klaffenboeck.,"
 #include <vector>
 
 #elif defined(GTEST_OS_SYMBIAN)
-// No autoconf on Symbian
 #define GTEST_HAS_GETTIMEOFDAY
 #include <sys/time.h> // NOLINT
 
 #elif defined(GTEST_OS_ZOS)
+#define GTEST_HAS_GETTIMEOFDAY
+#include <sys/time.h> // NOLINT
+
 // On z/OS we additionally need strings.h for strcasecmp.
 #include <strings.h>
 
",2247,508
"Use <tuple> instead of <tr1/tuple> when the compiler is not gcc, to conform with the TR1 spec."," INSTANTIATE_TEST_CASE_P(AnotherInstantiationName, FooTest, ValuesIn(pets));
 #include <gtest/internal/gtest-internal.h>
 #include <gtest/internal/gtest-param-util.h>
 #include <gtest/internal/gtest-param-util-generated.h>
-#ifdef GTEST_HAS_COMBINE
-#include <tr1/tuple>
-#endif // GTEST_HAS_COMBINE
 
 namespace testing {
 
",950,67
Implements the --gtest_death_test_use_fork flag and StaticAssertTypeEq.," GTEST_DECLARE_string_(internal_run_death_test);
 
 // Names of the flags (needed for parsing Google Test flags).
 const char kDeathTestStyleFlag[] = ""death_test_style"";
+const char kDeathTestUseFork[] = ""death_test_use_fork"";
 const char kInternalRunDeathTestFlag[] = ""internal_run_death_test"";
 
 #ifdef GTEST_HAS_DEATH_TEST
",52,4
Implements --gtest_also_run_disabled_tests. By Eric Roman.," TEST(BarTest, TestTwo) {
 TEST(BarTest, TestThree) {
 }
 
+TEST(BarTest, DISABLED_TestFour) {
+ FAIL() << ""Expected failure."";
+}
+
+TEST(BarTest, DISABLED_TestFive) {
+ FAIL() << ""Expected failure."";
+}
 
 // Test case BazTest.
 
 TEST(BazTest, TestA) {
 TEST(BazTest, TestB) {
 }
 
+TEST(BazTest, DISABLED_TestC) {
+ FAIL() << ""Expected failure."";
+}
+
+// Test case FoobarTest
+
+TEST(DISABLED_FoobarTest, Test1) {
+ FAIL() << ""Expected failure."";
+}
+
+TEST(DISABLED_FoobarTest, DISABLED_Test2) {
+ FAIL() << ""Expected failure."";
+}
+
+// Test case FoobarbazTest
+
+TEST(DISABLED_FoobarbazTest, TestA) {
+ FAIL() << ""Expected failure."";
+}
+
 #ifdef GTEST_HAS_PARAM_TEST
 class ParamTest : public testing::TestWithParam<int> {
 };
",53,17
Improves compatibility with cygwin by making the definition of GTEST_HAS_GLOBAL_WSTRING correct on this platform.,"
 // is available.
 
 #if defined(GTEST_OS_CYGWIN) || defined(GTEST_OS_SOLARIS)
-// At least some versions of cygwin don't support ::std::wstring.
+// Cygwin 1.5 and below doesn't support ::std::wstring.
+// Cygwin 1.7 might add wstring support; this should be updated when clear.
 // Solaris' libc++ doesn't support it either.
 #define GTEST_HAS_STD_WSTRING 0
 #else

 #ifndef GTEST_HAS_GLOBAL_WSTRING
 // The user didn't tell us whether ::wstring is available, so we need
 // to figure it out.
-#define GTEST_HAS_GLOBAL_WSTRING GTEST_HAS_GLOBAL_STRING
+#define GTEST_HAS_GLOBAL_WSTRING \
+ (GTEST_HAS_STD_WSTRING && GTEST_HAS_GLOBAL_STRING)
 #endif // GTEST_HAS_GLOBAL_WSTRING
 
 #if GTEST_HAS_STD_STRING || GTEST_HAS_GLOBAL_STRING || \
",185,41
Fixes the bug where the XML output path is affected by test changing the current directory. By Stefan Weigand.," class FilePath {
 int number,
 const char* extension);
 
+ // Given directory = ""dir"", relative_path = ""test.xml"",
+ // returns ""dir/test.xml"".
+ // On Windows, uses \ as the separator rather than /.
+ static FilePath ConcatPaths(const FilePath& directory,
+ const FilePath& relative_path);
+
 // Returns a pathname for a file that does not currently exist. The pathname
 // will be directory/base_name.extension or
 // directory/base_name_<number>.extension if directory/base_name.extension
 class FilePath {
 // root directory per disk drive.)
 bool IsRootDirectory() const;
 
+ // Returns true if pathname describes an absolute path.
+ bool IsAbsolutePath() const;
+
 private:
 // Replaces multiple consecutive separators with a single separator.
 // For example, ""bar///foo"" becomes ""bar/foo"". Does not eliminate other
",50,10
Improves error messages for undefined return value (by Sverre Sundsdal); improves gmock_doctor.," TEST(UnexpectedCallTest, UnsatisifiedPrerequisites) {
 
 #endif // GMOCK_HAS_REGEX
 
+#ifdef GTEST_HAS_DEATH_TEST
+
+TEST(UndefinedReturnValueTest, ReturnValueIsMandatory) {
+ MockA a;
+ // TODO(wan@google.com): We should really verify the output message,
+ // but we cannot yet due to that EXPECT_DEATH only captures stderr
+ // while Google Mock logs to stdout.
+ EXPECT_DEATH(a.ReturnResult(1), """");
+}
+
+#endif // GTEST_HAS_DEATH_TEST
+
 // Tests that an excessive call (one whose arguments match the
 // matchers but is called too many times) performs the default action.
 TEST(ExcessiveCallTest, DoesDefaultAction) {
",1323,103
Implements a simple regex matcher (to be used by death tests on Windows).," bool FilePath::DirectoryExists() const {
 // root directory per disk drive.)
 bool FilePath::IsRootDirectory() const {
 #ifdef GTEST_OS_WINDOWS
- const char* const name = pathname_.c_str();
 // TODO(wan@google.com): on Windows a network share like
 // \\server\share can be a root directory, although it cannot be the
 // current directory. Handle this properly.
",169,57
Fixes some warnings when compiled with MSVC at warning level 4.," String GetCurrentOsStackTraceExceptTop(UnitTest* unit_test, int skip_count);
 // Returns the number of failed test parts in the given test result object.
 int GetFailedPartCount(const TestResult* result);
 
+// A helper for suppressing warnings on unreachable code in some macros.
+inline bool True() { return true; }
+
 } // namespace internal
 } // namespace testing
 
 int GetFailedPartCount(const TestResult* result);
 GTEST_AMBIGUOUS_ELSE_BLOCKER_ \
 if (const char* gtest_msg = """") { \
 ::testing::internal::HasNewFatalFailureHelper gtest_fatal_failure_checker; \
- { statement; } \
+ if (::testing::internal::True()) { statement; } \
 if (gtest_fatal_failure_checker.has_new_fatal_failure()) { \
 gtest_msg = ""Expected: "" #statement "" doesn't generate new fatal "" \
 ""failures in the current thread.\n"" \
",271,44
Exposes gtest flags to user code access. By Alexander Demin.," namespace testing {
 
 // Declares the flags.
 //
-// We don't want the users to modify these flags in the code, but want
-// Google Test's own unit tests to be able to access them. Therefore we
-// declare them here as opposed to in gtest.h.
-GTEST_DECLARE_bool_(also_run_disabled_tests);
-GTEST_DECLARE_bool_(break_on_failure);
-GTEST_DECLARE_bool_(catch_exceptions);
-GTEST_DECLARE_string_(color);
+// We don't want the users to modify this flag in the code, but want
+// Google Test's own unit tests to be able to access it. Therefore we
+// declare it here as opposed to in gtest.h.
 GTEST_DECLARE_bool_(death_test_use_fork);
-GTEST_DECLARE_string_(filter);
-GTEST_DECLARE_bool_(list_tests);
-GTEST_DECLARE_string_(output);
-GTEST_DECLARE_bool_(print_time);
-GTEST_DECLARE_int32_(repeat);
-GTEST_DECLARE_bool_(show_internal_stack_frames);
-GTEST_DECLARE_int32_(stack_trace_depth);
 
 namespace internal {
 
",562,114
Adds tests for EXPECT_FATAL_FAILURE and reduces the golden file bloat (by Zhanyong Wan). Fixes more warnings on Windows (by Vlad Losev).," int GetFailedPartCount(const TestResult* result) {
 return result->failed_part_count();
 }
 
+// Used by the GTEST_HIDE_UNREACHABLE_CODE_ macro to suppress unreachable
+// code warnings.
+namespace {
+class ClassUniqueToAlwaysTrue {};
+}
+
+bool AlwaysTrue() {
+#if GTEST_HAS_EXCEPTIONS
+ // This condition is always false so AlwaysTrue() never actually throws,
+ // but it makes the compiler think that it may throw.
+ if (atoi(""42"") == 36) // NOLINT
+ throw ClassUniqueToAlwaysTrue();
+#endif // GTEST_HAS_EXCEPTIONS
+ return true;
+}
+
 // Parses a string as a command line flag. The string should have
 // the format ""--flag=value"". When def_optional is true, the ""=value""
 // part can be omitted.
",2267,515
Implements action Throw(exception).," DoAll(Action1 a1, Action2 a2, Action3 a3, Action4 a4, Action5 a5, Action6 a6,
 arg4_type arg4, arg5_type arg5, arg6_type arg6, arg7_type arg7, \
 arg8_type arg8, arg9_type arg9) const
 
+namespace testing {
+
+// Action Throw(exception) can be used in a mock function of any type
+// to throw the given exception. Any copyable value can be thrown.
+#if GTEST_HAS_EXCEPTIONS
+ACTION_P(Throw, exception) { throw exception; }
+#endif // GTEST_HAS_EXCEPTIONS
+
+} // namespace testing
+
 #endif // GMOCK_INCLUDE_GMOCK_GMOCK_GENERATED_ACTIONS_H_
",1072,122
Implements the test sharding protocol. By Eric Fellheimer.," TEST(BazTest, DISABLED_TestC) {
 FAIL() << ""Expected failure."";
 }
 
+// Test case HasDeathTest
+
+TEST(HasDeathTest, Test1) {
+#ifdef GTEST_HAS_DEATH_TEST
+ EXPECT_DEATH({exit(1);},
+ "".*"");
+#endif // GTEST_HAS_DEATH_TEST
+}
+
+// We need at least two death tests to make sure that the all death tests
+// aren't on the first shard.
+TEST(HasDeathTest, Test2) {
+#ifdef GTEST_HAS_DEATH_TEST
+ EXPECT_DEATH({exit(1);},
+ "".*"");
+#endif // GTEST_HAS_DEATH_TEST
+}
+
+
 // Test case FoobarTest
 
 TEST(DISABLED_FoobarTest, Test1) {
",61,21
Adds gtest_all_test.cc. Also cleans up gtest_unittest.cc.," TEST(GetCurrentOsStackTraceExceptTopTest, ReturnsTheStackTrace) {
 EXPECT_STREQ("""", GetCurrentOsStackTraceExceptTop(unit_test, 0).c_str());
 EXPECT_STREQ("""", GetCurrentOsStackTraceExceptTop(unit_test, 1).c_str());
 }
-
-#ifndef GTEST_OS_SYMBIAN
-// We will want to integrate running the unittests to a different
-// main application on Symbian.
-int main(int argc, char** argv) {
- testing::InitGoogleTest(&argc, argv);
-
-#ifdef GTEST_HAS_DEATH_TEST
- if (!testing::internal::GTEST_FLAG(internal_run_death_test).empty()) {
- // Skip the usual output capturing if we're running as the child
- // process of an threadsafe-style death test.
- freopen(""/dev/null"", ""w"", stdout);
- }
-#endif // GTEST_HAS_DEATH_TEST
-
- // Runs all tests using Google Test.
- return RUN_ALL_TESTS();
-}
-#endif // GTEST_OS_SYMBIAN
",3502,483
Implements the MATCHER* macros.," namespace proto2 { class Message; }
 namespace testing {
 namespace internal {
 
+// Converts an identifier name to a space-separated list of lower-case
+// words. Each maximum substring of the form [A-Za-z][a-z]*|\d+ is
+// treated as one word. For example, both ""FooBar123"" and
+// ""foo_bar_123"" are converted to ""foo bar 123"".
+string ConvertIdentifierNameToWords(const char* id_name);
+
 // Defining a variable of type CompileAssertTypesEqual<T1, T2> will cause a
 // compiler error iff T1 and T2 are different types.
 template <typename T1, typename T2>
",128,14
Makes sure all internal macros are named GMOCK_*_. No functionality is changed.,"
 
 namespace testing {
 
-GMOCK_DEFINE_string(verbose, internal::kWarningVerbosity,
- ""Controls how verbose Google Mock's output is.""
- "" Valid values:\n""
- "" info - prints all messages.\n""
- "" warning - prints warnings and errors.\n""
- "" error - prints errors only."");
+GMOCK_DEFINE_string_(verbose, internal::kWarningVerbosity,
+ ""Controls how verbose Google Mock's output is.""
+ "" Valid values:\n""
+ "" info - prints all messages.\n""
+ "" warning - prints warnings and errors.\n""
+ "" error - prints errors only."");
 
 namespace internal {
 
",55,16
Updates the definitions of GTEST_HAS_EXCEPTIONS and GTEST_HAS_STD_STRING to be C++ standard compliant.,"
 // gcc defines __EXCEPTIONS to 1 iff exceptions are enabled. For
 // other compilers, we assume exceptions are disabled to be
 // conservative.
-#define GTEST_HAS_EXCEPTIONS (defined(__GNUC__) && __EXCEPTIONS)
+#if defined(__GNUC__) && __EXCEPTIONS
+#define GTEST_HAS_EXCEPTIONS 1
+#else
+#define GTEST_HAS_EXCEPTIONS 0
+#endif // defined(__GNUC__) && __EXCEPTIONS
 #endif // _MSC_VER
 
 // Determines whether ::std::string and ::string are available.

 // need to figure it out. The only environment that we know
 // ::std::string is not available is MSVC 7.1 or lower with exceptions
 // disabled.
-#define GTEST_HAS_STD_STRING \
- (!(defined(_MSC_VER) && (_MSC_VER < 1400) && !GTEST_HAS_EXCEPTIONS))
+#if defined(_MSC_VER) && (_MSC_VER < 1400) && !GTEST_HAS_EXCEPTIONS
+#define GTEST_HAS_STD_STRING 0
+#else
+#define GTEST_HAS_STD_STRING 1
+#endif
 #endif // GTEST_HAS_STD_STRING
 
 #ifndef GTEST_HAS_GLOBAL_STRING
",187,41
Cleans up macro definitions.," class Message {
 }
 
 ~Message() { delete ss_; }
-#ifdef GTEST_OS_SYMBIAN
+#if GTEST_OS_SYMBIAN
 // Streams a value (either a pointer or not) to this object.
 template <typename T>
 inline Message& operator <<(const T& value) {
 class Message {
 }
 
 private:
-#ifdef GTEST_OS_SYMBIAN
+#if GTEST_OS_SYMBIAN
 // These are needed as the Nokia Symbian Compiler cannot decide between
 // const T& and const T* in a function template. The Nokia compiler _can_
 // decide between class template specializations for T and T*, so a
",72,18
Implements death tests on Windows (by Vlad Losev); enables POSIX regex on Mac and Cygwin; fixes build issue on some Linux versions due to PATH_MAX.,"
 #include <limits.h>
 #include <sys/stat.h> // NOLINT
 #include <unistd.h> // NOLINT
+#include <climits> // Some Linux distributions define PATH_MAX here.
 #endif // _WIN32_WCE or _WIN32
 
 #if GTEST_OS_WINDOWS
",170,57
