,Function,Original Comment,Predicted comment
19,def compute distance x x constraint 'l2' if constraint 'l2' dist np linalg norm x x elif constraint 'linf' dist np max abs x x return dist ,compute the distance between two images , convert a string to a string if possible
20,def abs error predictions labels weights fn none del weights fn unused targets tf squeeze labels axis 2 3 batch abs error tf abs predictions targets den tf ones tf shape batch abs error dtype tf float32 return batch abs error den ,computes mean abs preds target , returns a list of all files in this instance
21,def qa fetch get list ip none port none keyword arguments ip type description default none port type description default none 10 4 11 4 fx global extension market list extension market list qa fetch get extensionmarket list if extension market list is none else extension market list return extension market list query 'market 10 or market 11' query 4' ,keyword arguments ip type description default none port type description default none 10 4 11 4 , save arguments to type
22,def key from ireq ireq if ireq req is none and ireq link is not none return str ireq link else return key from req ireq req ,get a key for an installrequirement , returns a list of class names
23,def add node self node add a new node to node list and give the node an id args node an instance of node returns node id an integer node id len self node list self node to id node node id self node list append node self adj list node id self reverse adj list node id return node id ,add a new node to node list and give the node an id args node an instance of node returns node id an integer , returns a list of class instances instances
24,def ensure dir self path parts ensures a subdirectory of the working directory parameters path parts iterable str the parts of the path after the working directory path self path parts ensure directory path return path ,ensures a subdirectory of the working directory parameters path parts iterable str the parts of the path after the working directory , returns a list of class google cloud bigquery api v1beta1 instance instance instance by a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery
25,def max date self rows list row column datecolumn date takes a list of rows and a column and returns the max of the values under that column in those rows cell values row values column name for row in rows if not cell values return date 1 1 1 if not all isinstance value date for value in cell values raise executionerror f invalid values for date selection function cell values return max cell values ,takes a list of rows and a column and returns the max of the values under that column in those rows , returns a list of class google cloud bigquery instance schemafield a list of class google cloud bigquery row types a copy of class google cloud bigquery row row a row row a row returns a list of rows rows
26,def expression conv base hparams common hparams basic params1 batch size 10 output length 2048 inputs per output 128 chunk size 4 input length output length inputs per output chunk size hparams batch size input length batch size hparams dropout 0 1 hparams add hparam num conv layers 4 hparams add hparam num layers 7 the product of these pooling windows should match input length target length hparams add hparam pooling windows 2 2 2 4 hparams hidden size 256 hparams kernel width 20 hparams add hparam stride 1 return hparams ,hparams for model , convert a string to a string if possible
27,def self add a org apache spark streaming scheduler object for receiving system events related to streaming self jssc self jvm self jvm ,add a org apache spark streaming scheduler object for receiving system events related to streaming , returns a list of class instances instances instances fields returns a list of class instances instances
28,def is cython obj todo we could split these into two functions one for cython functions and another for cython methods todo there doesn't appear to be a cython function 'type' we can check against via isinstance please correct me if i'm wrong def check cython x return type x name cython function or method check if function or method respectively return check cython obj or hasattr obj func and check cython obj func ,check if an object is a cython function or method , returns a list of class instances instances instances instances of each class class class class instance of class instance that is a copy of class type class class class class instance param instance a class instance instance instance
29,def get distribution dist if isinstance dist six string types dist requirement parse dist if isinstance dist requirement dist get provider dist if not isinstance dist distribution raise typeerror expected string requirement or distribution dist return dist ,return a current distribution object for a requirement or string , returns a list of tuples
30,def self new index old index   if new index column not in self autosized cols  ensure the requested column is fully into view after self resizevisiblecolumnstocontents  self datatable new index ,resize the current column to its contents , returns a list of class instances instances instances fields returns a list of class instances instances
31,def get root item self item   root item item while isinstance root item parent  root item root item parent  return root item ,return the root item of the specified item , returns a list of class instances instances instances of each class class class dataframe instances returns a list of class instances
32,def get contained extras marker collect extra operands from a marker returns a list of str each str is a extra in this marker if not marker return set marker marker str marker extras set markers collect extras marker markers extras return extras ,collect extra from a marker returns a list of str each str is a extra in this marker , returns a list of tuples
33,def scan self search path none scan search path for distributions in this environment any distributions found are added to the environment search path should be a sequence of sys path items if not supplied sys path is used only distributions conforming to the platform python version defined at initialization are added if search path is none search path sys path for item in search path for dist in find distributions item self add dist ,scan search path for distributions usable in this environment any distributions found are added to the environment search path should be a sequence of sys path items if not supplied sys path is used only distributions conforming to the platform python version defined at initialization are added , returns a list of class google cloud bigquery model reference instance
34,def destroy server server id ''' given a uuid id of a div removed or replaced in the jupyter notebook destroy the corresponding server sessions and stop it ''' server uuid to server get server id none if server is none log debug no server instance found for uuid r server id return try for session in server get sessions session destroy server stop del uuid to server server id except exception as e log debug could not destroy server for id r s server id e ,given a id of a div removed or replaced in the jupyter notebook destroy the corresponding server sessions and stop it , returns a list of class google cloud bigquery model uid a list of class google cloud bigquery query schemafield a dictionary of a dictionary of a dictionary
35,def handler signum frame spinner signal handler used to gracefully shut down the spinner instance when specified signal is received by the process running the spinner signum and frame are mandatory arguments check signal signal function for more details spinner red fail spinner stop sys exit 0 ,signal handler used to gracefully shut down the spinner instance when specified signal is received by the process running the spinner signum and frame are mandatory arguments check signal signal function for more details , remove an xml node from a node
36,def build self x h mask none ''' build the gru cell ''' xw tf split tf matmul x self w matrix self bias 3 1 tf split tf matmul h self u 3 1 r tf sigmoid xw 0 0 z tf sigmoid xw 1 1 h1 tf tanh xw 2 r 2 next h h1 1 z h z if mask is not none next h next h mask h 1 mask return next h ,build the gru cell , returns a list of class instances
37,def zeroed observation observation return an array of zeros with same shape as given observation argument observation list list of observation return a np ndarray of zeros with observation shape if hasattr observation 'shape' return np zeros observation shape elif hasattr observation ' iter ' out for x in observation out append zeroed observation x return out else return 0 ,return an array of zeros with same shape as given observation argument observation list list of observation return a np ndarray of zeros with observation shape , convert a list of strings to a list of strings
38,def align terms try flatten the parse tree a nested list really terms list com flatten terms except typeerror can't iterate so it must just be a constant or single variable if isinstance terms value pd core generic ndframe typ type terms value return typ zip axes from type typ terms value axes return np result type terms type none if all resolved variables are numeric scalars if all term is scalar for term in terms return result type many term value for term in terms type none perform the main alignment typ axes align core terms return typ axes ,align a set of terms , returns a list of class instances instances
39,def resize to contents self   qapplication qt  self resizecolumnstocontents  self model fetch more columns true  self resizecolumnstocontents  qapplication ,resize cells to contents , add a new node to a node this is a blocking to be called when called when it is called as a future
40,def charset self optional str raw self headers get hdrs content type type ignore if self stored content type raw self parse content type raw return self content dict get 'charset' ,the value of charset part for content type http header , returns a list of class instances instances
41,def get flat self gets the weights and returns them as a flat array returns 1d array containing the flattened weights self check sess return np concatenate v eval session self sess flatten for v in self variables values ,gets the weights and returns them as a flat array returns 1d array containing the flattened weights , returns a list of class names
42,def make vcs requirement url repo url rev project name subdir none return the url for a vcs requirement args repo url the remote vcs url with any needed vcs prefix e g git project name the unescaped project name egg project name pkg resources to filename project name req ' egg ' format repo url rev egg project name if subdir req ' subdirectory ' format subdir return req ,return the url for a vcs requirement args repo url the remote vcs url with any needed vcs prefix e g git project name the unescaped project name , returns a list of class google cloud bigquery instance instance instance instance returns a list of class google cloud bigquery page page a page instance
43,def get layer params self layer name provides access to the parameters of the given layer works arounds the non availability of graph collections in eager mode layer name name of the layer for which parameters are required must be one of the string in the list layer names return list of parameters corresponding to the given layer assert layer name in self layer names out layer self layers layer name layer variables layer variables for each parameter in a layer for param in layer variables if param not in out out append param return out ,provides access to the parameters of the given layer works arounds the non availability of graph collections in eager mode layer name name of the layer for which parameters are required must be one of the string in the list layer names return list of parameters corresponding to the given layer , returns a list of class names
44,def is restricted self assets dt an asset is restricted for all dts if it is in the static list if isinstance assets asset return assets in self restricted set return pd series index pd index assets data vectorized is element assets self restricted set ,an asset is restricted for all if it is in the static list , returns a list of class instances instances instances instances of each property that is a valid node
45,def self name type externalid systemid content ret libxml2mod self o name type externalid systemid content if ret is none raise treeerror failed' tmp xmlentity obj ret return tmp ,register a new entity for this document dtd external subset , returns a list of class instances instances instances instances of a list of class instances instances instances instances instances age age name u'alice' age 2 2 2 3 2 2 3 2 2 2 2 2 2 2 2 omd allitems 2 2 omd allitems 1 2 2 omd allitems 1 2 omd allitems 1 2 omd allitems 1 2 omd allitems 1 2 omd allitems 1 2 omd allitems 1 2 omd allitems 1 2 omd allitems 1 2 omd allitems 1 2 omd allitems 1 2 omd allitems omd allitems 1
46,def split index params delete index from params if isinstance params list return params 0 split index params 1 elif isinstance params dict if index in params keys return split index params value result dict for key in params result key split index params key return result else return params ,delete index from params , returns a list of class instances instances
47,def process order self order keep track of an order that was placed parameters order zp order the order to record try dt orders self orders by modified order dt except keyerror self orders by modified order dt ordereddict order id order self orders by id order id order else self orders by id order id dt orders order id order to preserve the order of the orders by modified date move to end dt orders order id last true move to end self orders by id order id last true ,keep track of an order that was placed parameters order zp order the order to record , returns a list of class instances instances instances instances of a list of class instances instances
48,def history self bar count frequency field ffill true deprecated use data history instead warnings warn the history method is deprecated use data history instead category stacklevel 4 return self get history window bar count frequency self calculate field ffill ,deprecated use data history instead , returns a list of class pyspark instances instances
49,def position self line col self position self return line 1 col ,returns line col of the current position in the stream , returns a list of class instances instances instances fields returns a list of class instances instances
50,def transform graph transform function for graph ''' graphs for in range constant n neighbours 2 random num randrange 3 temp graph none if random num 0 temp graph to deeper graph deepcopy graph elif random num 1 temp graph to wider graph deepcopy graph elif random num 2 temp graph to skip connection graph deepcopy graph if temp graph is not none and temp graph size constant max model size graphs append temp graph if len graphs constant n neighbours break return graphs ,core transform function for graph , returns a list of class instances instances instances instances
51,def xpathnextdescendant self ctxt traversal function for the descendant direction the descendant axis contains the descendants of the context node in document order a descendant is a child or a child of a child and so on if ctxt is none ctxt o none else ctxt o ctxt o ret libxml2mod xmlxpathnextdescendant ctxt o self o if ret is none raise xpatherror 'xmlxpathnextdescendant failed' tmp xmlnode obj ret return tmp ,traversal function for the descendant direction the descendant axis contains the descendants of the context node in document order a descendant is a child or a child of a child and so on , returns a list of class instances instances instances fields returns a list of class instances instances
52,def bbox hflip bbox rows cols x min y min x max y max bbox return 1 x max y min 1 x min y max ,flip a bounding box horizontally around the y axis , add a new node to a node this is a blocking to be called when called on a thread which is called as a future
53,def init conv weight layer '''initilize conv layer weight ''' n filters layer filters filter shape layer kernel size get n dim layer weight np zeros n filters n filters filter shape center tuple map lambda x int x 1 2 filter shape for i in range n filters filter weight np zeros n filters filter shape index i center filter weight index 1 weight i filter weight bias np zeros n filters layer set weights add noise weight np array 0 1 add noise bias np array 0 1 ,initilize conv layer weight , remove an xml node from a node
54,def unicode self '''this returns a printable representation of the screen as a unicode string which under python 3 x is the same as 'str' the end of each screen line is terminated by a newline ''' return u' n' join u'' join c for c in self w ,this returns a printable representation of the screen as a unicode string which under python 3 x is the same as 'str' the of each screen line is terminated by a newline , returns a list of class instances instances instances fields returns a list of class instances instances
55,def encode images as png images if tf executing eagerly for image in images yield tf image encode png image numpy else height width channels images 0 shape with tf graph as default image t tf placeholder dtype tf uint8 shape height width channels encoded image t tf image encode png image t with tf session as sess for image in images enc string sess run encoded image t feed dict image t image yield enc string ,yield images encoded as , add a new node to a node this is a function to be called when called on a child of it is called as a future
56,def dispatch self receiver ''' dispatch handling of this event to a receiver this method will invoke receiver session callback removed if it exists ''' super self dispatch receiver if hasattr receiver ' session callback receiver session callback removed self ,dispatch handling of this event to a receiver this method will invoke receiver session callback removed if it exists , returns a list of class instances instances instances fields returns a list of class instances instances
57,def get fc dimensions self strides kernel sizes output height output width self hparams problem frame shape output steps self hparams video num target frames output shape np array output steps output height output width for curr stride kernel size in zip strides kernel sizes output shape self expected output shape output shape np array curr stride 1 kernel size return np prod output shape self hparams num discriminator filters 8 ,get expected fully connected shape after a series of convolutions , returns a list of class names
58,def read dirs path folder ''' fetches name of all files in path in long form and labels associated by extrapolation of directory names ''' lbls fnames all lbls full path os path join path folder for lbl in sorted os listdir full path if lbl not in ' ipynb ' ds all lbls append lbl for fname in os listdir os path join full path lbl if fname not in ' ds fnames append os path join folder lbl fname lbls append lbl return fnames lbls all lbls ,fetches name of all files in path in long form and labels associated by of directory names , return a fully qualified project string
59,def make class cls def break on call reduce self protocol none raise typeerror ' r cannot be self cls reduce ex break on call reduce cls module ' unknown ' ,make the given class un picklable , returns a list of class instances instances
60,def rand resize crop size int max scale float 2 ratios tuple float float 0 75 1 33 randomly resize and crop the image to a ratio in ratios after a zoom of max scale return zoom squish scale 1 max scale 8 squish ratios 8 invert 0 5 8 row pct 0 1 col pct 0 1 crop size size ,randomly resize and crop the image to a ratio in ratios after a zoom of max scale , convert a list of strings to a list of strings if possible
61,def get function for cognito trigger self trigger get the associated function to execute for a cognito trigger print get function for cognito trigger self settings cognito trigger mapping trigger self settings cognito trigger mapping get trigger return self settings cognito trigger mapping get trigger ,get the associated function to execute for a cognito trigger , returns a list of class names
62,def set trainer self trainer trainer cannot be replaced for sparse params if self stype 'default' and self trainer and trainer and self trainer is not trainer raise runtimeerror failed to set the trainer for parameter ' s' because it was already set more than one trainers for a s parameter is not supported self name self stype self trainer trainer ,set the trainer this parameter is associated with , returns a list of class instances instances
63,def finish self n enforce number n uoffsettflags n uoffsettflags bytewidth if n bytewidth self prep self self prependuoffsettrelative if size len self bytes self head n enforce number size n self size self finished true return self head ,finish finalizes a buffer pointing to the given , returns a list of class instances instances instances instances of a list of class instances instances instances instances
64,def max roi pooling attrs inputs proto obj new attrs translation utils fix attribute names attrs 'pooled shape' 'pooled size' return new attrs inputs ,max pooling , returns a list of class instances instances
65,def rounding sequence accuracy predictions labels weights fn common layers weights nonzero outputs tf squeeze tf to int32 predictions axis 1 weights weights fn labels labels tf to int32 labels not correct tf to float tf not equal outputs labels weights axis list range 1 len outputs get shape correct seq 1 0 tf minimum 1 0 tf reduce sum not correct axis axis return correct seq tf constant 1 0 ,sequence accuracy for l1 l2 losses round down the predictions to ints , convert a list of strings to a list of strings if possible
66,def get content range start optional int end optional int total int str returns a suitable content range header print get content range none 1 4 bytes 0 0 4 print get content range 1 3 4 bytes 1 2 4 print get content range none none 4 bytes 0 3 4 start start or 0 end end or total 1 return bytes s s s start end total ,returns a suitable content range header print get content range none 1 4 bytes 0 0 4 print get content range 1 3 4 bytes 1 2 4 print get content range none none 4 bytes 0 3 4 , returns a list of class instances instances
67,def is potential multi index columns check whether or not the columns parameter could be converted into a multiindex parameters columns array like object which may or may not be convertible into a multiindex returns boolean whether or not columns could become a multiindex return len columns and not isinstance columns multiindex and all isinstance c tuple for c in columns ,check whether or not the columns parameter could be converted into a multiindex parameters columns array like object which may or may not be convertible into a multiindex returns boolean whether or not columns could become a multiindex , returns a list of class instances instances instances instances of a dictionary of class class class instances instances instances param extra extra extra that that is a valid type class class class class class instance param instance that class copy of class type class class class class instance param instance that a copy of class google cloud bigtable bigtable row returns a copy of a copy of type rows
68,def path constant self name value declare and set a project global constant whose value is a path the path is adjusted to be relative to the invocation directory the given value path is taken to be either absolute or relative to this project root assert is iterable typed name basestring assert is iterable typed value basestring if len value 1 self registry manager errors path constant should have one element self registry current add constant name 0 value path 1 ,declare and set a project global constant whose value is a path the path is to be relative to the invocation directory the given value path is taken to be either absolute or relative to this project root , returns a list of class google cloud bigquery model uid a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list
69,def insert order self order ''' param order qa return ''' print insert order format order queued 300 queued order status order status queued todo df self queue df self queue df append order to df ignore index true self queue df set index id' drop true inplace true if order is not none self order list order order id order return order else print wrong for get none type while insert order to ,param order qa return , returns a list of class instances instances instances fields returns a list of class instances instances
70,def root self set none sets gets the 'root' flag target is root is it directly to some variant of a main target assert isinstance set int bool type none if set self root true return self root ,sets gets the 'root' flag target is root is it directly to some variant of a main target , returns a list of class pyspark instances instances
71,def map self map fn name map applies a map operator to the stream attributes map fn function the user defined logic of the map op operator generate uuid optype map name map fn num instances self env config parallelism return self register op ,applies a map operator to the stream attributes map fn function the user defined logic of the map , returns a list of class instances instances instances fields returns a list of class instances instances
72,def create or update cluster config file override min workers override max workers no restart restart only yes override cluster name config yaml load open config file read if override min workers is not none config min workers override min workers if override max workers is not none config max workers override max workers if override cluster name is not none config cluster name override cluster name config bootstrap config config get or create head node config config file no restart restart only yes override cluster name ,create or updates an ray cluster from a config json , returns a list of tuples
73,def get logits self x kwargs param x a symbolic representation tensor of the network input return a symbolic representation tensor of the output logits i e the values fed as inputs to the softmax layer outputs self fprop x kwargs if self o logits in outputs return outputs self o logits raise notimplementederror str type self must implement get logits or must define a self o logits output in fprop ,param x a symbolic representation tensor of the network input return a symbolic representation tensor of the output logits i e the values fed as inputs to the softmax layer , returns a list of class names
74,def queryables self compute the values axes queryables return dict a cname a for a in self index axes self storage obj type axis names axis none for axis values in self non index axes v cname v for v in self values axes if v name in set self data columns ,return a dict of the kinds columns for this object , returns a list of class instances instances instances instances of a list of class instances instances
75,def maybe coerce indexer self indexer return an indexer coerced to the codes dtype if isinstance indexer np ndarray and indexer dtype kind 'i' indexer indexer astype self codes dtype return indexer ,return an indexer coerced to the codes dtype , returns a list of class instances instances instances instances of a list of class instances instances instances
76,def set properties from api repr self resource self name resource get name self number resource self labels resource get labels self status resource if parent in resource self parent resource parent ,update specific properties from its api representation , returns a list of class google cloud bigquery bigquery instance instance
77,def result type many arrays and dtypes wrapper around numpy result type which the npy 32 argument limit try return np result type arrays and dtypes except valueerror we have npy terms in our expression return reduce np result type arrays and dtypes ,wrapper around numpy result type which the 32 argument limit , returns a list of strings if a list of objects is a list of class google cloud bigtable row row row a row row a row name returns a list of strings
78,def limit self count create a limited query with this collection as parent see meth firestore v1beta1 query query limit for more information on this method args count int maximum number of documents to return that match the query returns firestore v1beta1 query query a limited query query query mod query self return query limit count ,create a limited query with this collection as parent see meth firestore v1beta1 query query limit for more information on this method args count int maximum number of documents to return that match the query returns firestore v1beta1 query query a limited query , returns a list of class instances instances instances instances of a list of class instances instances instances
79,def have correct lambda package version self package name package version checks if a given package version binary should be copied over from lambda packages package name should be lower cased version of package name lambda package details lambda packages get package name get self runtime if lambda package details is none return false can be compiled for different package versions related https github com miserlou zappa issues 800 if package version lambda package details 'version' return false return true ,checks if a given package version binary should be copied over from lambda packages package name should be lower cased version of package name , returns a dictionary of a dictionary of a dictionary of strings
80,def convert from missing indexer tuple indexer axes create a filtered indexer that doesn't have any missing indexers def get indexer i idx return axes i get loc idx 'key' if isinstance idx dict else idx return tuple get indexer i idx for i idx in enumerate indexer ,create a filtered indexer that doesn't have any missing indexers , convert a list of strings to a list of strings if possible
81,def merge ws self item container type item container bool merges the given item with the last one currently in the given container if both are whitespace items returns true if the items were merged last container last item if not last return false if not isinstance item whitespace or not isinstance last whitespace return false start self idx len last s len item s container body 1 container body 1 0 whitespace self src start self idx return true ,merges the given item with the last one currently in the given container if both are whitespace items returns true if the items were merged , returns a list of class instances instances instances fields returns a list of class instances instances
82,def kill reporter self check alive true kill the reporter args check alive bool raise an exception if the process was already dead reporter is started only in py3 if py3 self kill process type ray constants process type reporter check alive check alive ,kill the reporter args check alive bool raise an exception if the process was already dead , returns a list of class instances instances instances instances of a list of class instances instances instances
83,def normalize x tensorimage mean floattensor std floattensor tensorimage normalize x with mean and std return x mean none none std none none ,normalize x with mean and std , add a new node to a node this is a blocking to be called when called on a thread which is called as a future
84,def install monitor self monitor if self sym gen is not none raise notimplementederror monitoring is not implemented for bucketing for train exec in self execgrp train execs monitor install train exec ,install monitor on all executors , returns a list of class instances instances
85,def copy self other meanstdfilter self shape other sync self return other ,returns a copy of filter , returns a list of class instances instances instances instances of a list of class instances instances instances
86,def shakeshake2 equal grad x1 x2 dy y shakeshake2 py x1 x2 equal true dx tf gradients ys y xs x1 x2 grad ys dy return dx ,overriding gradient for shake shake of 2 tensors , convert a list of strings to a list of strings if possible
87,def register model model name dataset name model func model map get model map dataset name if model name in model map raise valueerror model s is already registered for dataset s model name dataset name model map model name model func ,register a new model that can be obtained with get model config , returns a dictionary of all fields in this instance
88,def get env name return env var value if it's defined and not an empty string or return unknown res os environ get name '' return res if len res else unknown ,return env var value if it's defined and not an empty string or return unknown , returns a list of class names
89,def all input string permute all of a given string a pretty algorithm via http stackoverflow com questions finding all possible case permutations in python if not input string yield else first input string 1 if first lower first upper for sub casing in all input string 1 yield first sub casing else for sub casing in all input string 1 yield first lower sub casing yield first upper sub casing ,permute all of a given string a pretty algorithm via http stackoverflow com questions finding all possible case permutations in python , returns a list of class instances instances
90,def proxy type v proxies if re match r http d 1 3 d 1 3 d 1 3 d 1 3 d 1 5 v proxies append http v https v return proxies elif re match r http a za z0 9 2 256 a z 2 6 d 1 5 v proxies append http v https v return proxies elif is proxy list v proxies return proxies else raise argparse argumenttypeerror proxy should follow ip port or domain port format ,match ip port or domain port in a manner , returns a list of class google cloud bigquery instance schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list of class google cloud bigquery query schemafield a list
