,Function,Original Comment,Predicted comment
13,public jscint return ,gets code jscint code indicating whether the symbol table data table elements should be editable return code jscint code , returns the current value of the code visualobject code return the code visualobject code that is currently currently currently selected
14,public void clean head null ,removes all data from this object , clear the current table
15,public string tostring int return new string buf 0 count ,creates a newly allocated string its size is the current size of the output stream and the valid contents of the buffer have been copied into it each character i c i in the resulting string is constructed from the corresponding element i b i in the byte array such that blockquote pre c char amp lt lt 8 b amp pre blockquote deprecated this method does not properly convert bytes into characters as of jdk nbsp 1 1 the preferred way to do this is via the code tostring string enc code method which takes an encoding name argument or the code tostring code method which uses the platform's default character encoding param the high byte of each resulting unicode character return the current contents of the output stream as a string see java io bytearrayoutputstream size see java io bytearrayoutputstream tostring string see java io bytearrayoutputstream tostring , returns the string representation of the current class
16,public void ,the code wizard code implementation of this code iwizard code method does nothing subclasses should extend if extra pages need to be added before the wizard opens new pages should be added by calling code addpage code , this method is called to override the ui
17,public return new ,create an instance of link wsielementshapedictionary , create an instance of link org an util path
18,public int getmaxcolumnsinselect return 0 ,what's the maximum number of columns in a select list we don't have a limit return max columns , returns the number of elements in the list return the number of columns
19,public void stopediting pilotdbrecord record int fieldindex throws exception evaluationcontext ctx new evaluationcontext ctx setdatabase pilotdbdatabase record getdatabase ctx setrecord record record fieldindex ctx ,update the record , update the record
20,public void purgedisseminator string itempid string throws exception logger debug entering purgedisseminator itempid maapi purgedisseminator itempid via logger debug exiting purgedisseminator ,deletes the specified disseminator param itempid param dissid throws exception , removes the specified item from the given string throws saxexception if the item is not a string throws exception if an error occurs
21,public boolean isstateready if false return true return false ,check if state data is available return true if ready false if not ready , check if the data is available return true if the data is available
22,public float return this m power ,returns the power of the kick return the power of the kick author michael w floyd since 0 2 , get the current value of the current direction return the current value of the current point
23,public binaryheaderandfooter getfileheaderandfooter file file file indexfile findindexfile file true binaryheaderandfooter bhf null if indexfile null bhf readheadandfoot indexfile if bhf null bhf binaryheader null bhf binaryfooter null bhf readheadandfoot file return bhf ,run checks on each file param file file to check , initiates file file into file param file file name return true if successful
24,protected void addeffectpropertydescriptor object object itempropertydescriptors add createitempropertydescriptor composeableadapterfactory adapterfactory getrootadapterfactory getresourcelocator getstring ui transition effect feature non nls 1 getstring ui propertydescriptor description ui transition effect feature ui transition type non nls 1 non nls 2 non nls 3 umlpackage literals transition effect true null null new string org eclipse ui views properties expert non nls 1 ,this adds a property descriptor for the effect feature begin user doc user doc generated , this adds a property descriptor for the is active feature begin user doc
25,protected void addlistener if geteobject null return if geteobject eadapters contains getmodellistener geteobject eadapters add getmodellistener ,adds a model listener to this object , updates the table with the specified text from the
26,public boolean return dragenabled ,returns true if the graph uses drag and drop to move cells , returns true if the user is currently applied to be applied to the next position return true if the box is closed false otherwise
27,public int findopeningpeer int start char openingpeer char closingpeer assert istrue start fdocument getlength try int depth 1 start 1 while true start start 1 unbound new charactermatch new char openingpeer closingpeer if start not found return not found if fdocument getchar start closingpeer depth else depth if depth 0 return start catch badlocationexception e return not found ,returns the position of the opening peer character backward search any scopes introduced by closing peers are skipped all peers accounted for must reside in the default partition p p note that code code must not point to the closing peer but to the first character being searched p param the position param openingpeer the opening peer character e g ' ' param closingpeer the closing peer character e g ' ' return the matching peer character position or code not found code , calculate the next index in a sequence param index the first sequence in the sequence return the first sequence in the sequence
28,public list getpropertydescriptors object object if itempropertydescriptors null super getpropertydescriptors object addhandlerbodypropertydescriptor object addexceptioninputpropertydescriptor object addexceptiontypepropertydescriptor object addprotectednodepropertydescriptor object return itempropertydescriptors ,this returns the property descriptors for the adapted class begin user doc user doc generated , this returns the property descriptors for the adapted class begin user doc
29,public void settext string str this text str ,sets the text that appears in this glyph param str the text , sets the text content of the text text param text the text to be added to the text
30,public bigdecimal if null calcincomespendings return ,calculations for excel spread sheet report , returns the current area of the abstractmappoint return the current area of the current box
31,public void setts ts if null throw new illegalargumentexception argument was null synchronized this removeallts for int i 0 i length i addts i ,clears all currently stored time series and adds the series contained in code code param array of time series to add , sets the code frame code that is used to project data from the code frame code param project the code frame code throws illegalargumentexception code if code null code
32,public void string repeatingelementname if repeatingelementname null errors add repeatingelementname cannot be null this repeatingelementname repeatingelementname ,sets the repeatingelementname param repeatingelementname the repeatingelementname to set , sets the name of the module
33,public void throws exception assertequals response gettitle ,test for the title of the page throws exception , test method for 'org simbio sim dm serialize protocolparser getexchanger ' 'protocolparsermake' has no tag should be ok
34,public defaultmutabletreenode addobject object child defaultmutabletreenode parentnode null treepath parentpath tree getselectionpath if parentpath null parentnode rootnode else parentnode defaultmutabletreenode parentpath getlastpathcomponent return addobject parentnode child true ,add child to the currently selected node , returns the child of the child of this node in the given child this node is returned by the first child of the first child of this node this method performs a linear search of the first child of the first child of the node in this node p this method is the first child of the child of code child code and the children of the first child is not transferred to the tree calling this method see the first node of the tree this method is to determine the first child of the child node return the first child of the first child of the first child of the child node in this node
35,protected string stringbuffer res new stringbuffer 20 while packet pointer 0 pointer packet length res append char packet pointer pointer return res tostring ,method that reads a null terminated string , converts the string to the string representation of the document return the string representation of the current position
36,public collection getchildrenfeatures object object if childrenfeatures null super getchildrenfeatures object childrenfeatures add umlpackage literals read extent action result return childrenfeatures ,this specifies how to implement link getchildren and is used to deduce an appropriate feature for an link org eclipse emf edit command addcommand link org eclipse emf edit command removecommand or link org eclipse emf edit command movecommand in link createcommand begin user doc user doc generated , this specifies how to implement link getchildren and is used to deduce an appropriate feature for an link org eclipse emf edit command addcommand link org eclipse emf edit command removecommand or link org eclipse emf edit command movecommand in link createcommand begin user doc
37,public void back if pointer 0 pointer ,moves the pointer back one character if the pointer is already at the beginning of the string it is not moved , sets the maximum number of the last location to the current position in this component p this method is called after the first call to be added to the next point p this method is em not em to use that the caller will not be thrown param start the new time to use
38,synchronized public void int offset int len procedure p throws badlocationexception system out println enter nosend offset len this super remove offset len if p null js call p new integer offset new integer len system out println exit nosend offset len this ,this is an alias for the insertstring of the superclass it is called when we really want to insert something into the textarea the 'procedure' argument is deprecated and is no longer used this grabs a write lock before deleting according to the java docs t is thread safe , read a single thread in the specified position in the list param c the first page in the current position in the current position
39,public boolean return backup ,returns the backup return boolean , returns true if the last row is the last row in the history
40,public void object test new object demo purge object from test boolean false try fm purgeobject test success catch exception e1 e1 printstacktrace fail update this test as fedora gets updated ,test purgeobject note this test modifies the repository state , test for e mail address of this test
41,public t getdefault return defaultvalue ,returns the default value for this reference return the defaultvalue , gets the owner return the owner
42,public boolean issaved return state saved ,state of an already saved object in database dbobject is visible in database for others return boolean true saved persistently , returns true if the graph is empty
43,public string parse byte file inputstream is new bytearrayinputstream file reader r new bufferedreader new inputstreamreader is callback new try the html xml file as by the reader and handles it as specified by the callback the equals false new parse r callback false catch ioexception ex logger error error parsing file ex return return callback htmlstring ,parses the byte into a string param file byte the html xml file to be parsed passed in the form of a byte throws exception return string the parsed html xml string , read tag generate attribute attribute with file protocol return nodevalue for path throws ioexception
44,synchronized public tunit getpreceedingunit long starttime int channelmap listiterator tunit listiterator getlistiterator iterator end return getpreceedingunit listiterator starttime channelmap ,simple function to find the data unit at or before the given time that has a given channel bitmap param starttime search time in milliseconds param channelmap channel bitmap return data unit at or following the given time , find a new data unit for a specific data unit param dataunit return
45,public edittype previous switch this case element return object case sample return element case radius return sample case measurement series return radius default return null ,gets the previous edittype in the order return , gets the current instance of the component return the current value of the code visualobject code see org eclipse emf edit command or the current instance of the current code visualobject code to be used to the current position
46,public void add int boardpositionindex int the moves queue also contains an arbitrary number of span markers therefore after every added board position there must be done a check whether the memory block is already full add boardpositionindex add ,adds data to the queue param boardpositionindex the board position to be added param the predecessor to be added , sets the maximum number of threads in the list of a new vector param zero the new number of the new tag to set
47,protected void addinstructurednodepropertydescriptor object object itempropertydescriptors add createitempropertydescriptor composeableadapterfactory adapterfactory getrootadapterfactory getresourcelocator getstring ui activityedge feature non nls 1 getstring ui propertydescriptor description ui activityedge feature ui activityedge type non nls 1 non nls 2 non nls 3 umlpackage literals activity edge in structured node true null null new string org eclipse ui views properties expert non nls 1 ,this adds a property descriptor for the in structured node feature begin user doc user doc generated , this adds a property descriptor for the is remove feature begin user doc
48,public board return board ,returns the code board code displayed in this class return the code board code of this class , returns the maximum number of dimensions in the history return the number of the box
49,private boolean node string we may return true if is a collection and the collection type says that is a method line collection size type tree getnodetype if instanceof collection return contains ,determine if code a can be used or if we have to use a param param return , check if the user is a string param node return true if the node is a valid false otherwise
50,public selectablepanel getselection return selection ,returns the model of the selected button return the selected button model , gets the current table of the table return the selected value
51,protected collection condition condition return ascondvar condition ,returns a collection containing those threads that may be waiting on the given condition associated with this lock because the actual set of threads may change dynamically while constructing this result the returned collection is only a best effort estimate the elements of the returned collection are in no particular order this method is designed to facilitate construction of subclasses that provide more extensive condition monitoring facilities param condition the condition return the collection of threads throws illegalmonitorstateexception if this lock is not held throws illegalargumentexception if the given condition is not associated with this lock throws nullpointerexception if condition null , returns true if this object has been deleted return code true code if the list is not valid
52,public int getitemcount return size ,determine the number of items that are in this rss feed return the number of items in this rss feed , returns the number of elements in this list return the number of elements in this list
53,public void entry currententry if currententry getdate gettime gettime currententry getdate if currententry getdate gettime gettime currententry getdate put currententry getid currententry ,update an existing entry in the journal or add a new one , if the given thread has been set to the current thread then the current thread will be added to the given thread if there is no thread then the last call to be added first the first will be true first the first thread will be one of the first thread then the current thread will be disabled first
54,public void connectablehandler handler connectablehandler handler ,set the connectablehandler param handler the connectablehandler , sets the current page to be used by the current page
55,public int size return elementcount ,returns the number of components in this vector return the number of components in this vector , returns the number of elements in this list return the number of elements in this set
56,public enumeration keys return new keyiterator ,returns an enumeration of the keys in this table return an enumeration of the keys in this table see , returns the node return node
57,public double latlong latlong double double this double double distancetometres this return math abs math sin math pi 180 ,the perpendicular distance from this latlong to a line joining and return cross track error in metres , calculate the distance from the given point param distance the distance to be calculated return the y coordinate as the given point
58,public void rotfixedzaxis double angle modeltransform rotfixedzaxis angle ,rotates the model around the fixed z axis param angle the rotation angle in radians , rotates the camera around the rotated z axis param angle the rotation angle in radians
59,private list ssabasicblockwrapper wrapper instructionhandle handles wrapper getinstructionhandles list indices new arraylist for int i 0 i handles length i if handles i getinstruction instanceof storeinstruction storeinstruction store storeinstruction handles i getinstruction list keys wrapper getkeys new integer store getindex assert keys size 2 es 2 value non nls 1 indices addall keys return indices ,returns an array of variable indices that are defined in a given basic block those are the variables that are stored via a store instruction param wrapper return returns a list containing integer objects representing the ssa index of the instructions , this method returns an object that is called by the first task it is called by the first it returns the first first it is to be executed param e the list of the list return code true code if the list was found and the given value
60,public void setlimit int if 0 throw new illegalargumentexception the limit cannot be negative this limit ,color with more foreground colors than this are out param cannot be negative , sets the length of the given index of the given array
61,public void release sync release 1 ,releases a permit returning it to the semaphore p releases a permit increasing the number of available permits by one if any threads are trying to acquire a permit then one is selected and given the permit that was just released that thread is re enabled for thread scheduling purposes p there is no requirement that a thread that releases a permit must have acquired that permit by calling link acquire correct usage of a semaphore is established by programming convention in the application , this will be used to be used for the next server in the server
62,public string tostring tag tags if tags length 0 return null string result tr td rowname td td for int i 0 i tags length i if i 0 result result tags i text td tr return result table dt n ,embed multiple disk layout tags as cells in the disk format table close the table param tags an array of tags to add to the disk format table , this returns the property descriptors for the adapted class begin user doc
63,public boolean accept file dir string name final iterator this iterator while hasnext string file next tostring log applidebug name file if name tolowercase startswith file return true return false ,retrieved if a file accepted by the filter implements accept method from interface param dir path to the directory containing the file to test param name the name of the file to test return true if the filter accepts the file false otherwise , check if the given file is a directory
64,public double getwidth return width ,returns the overall width of this gridellipse in double precision return the width of this gridellipse , gets the minimum value of the depth return the depth of the
65,public void pausesim pausesim true ,pauses the simulation , sets the current component to be used to update the current editor
66,protected void setserverstates serverobjectstates statemap throws exception string servers statemap serverobjectnames string name remote server byte serverstate for int i 0 i servers length i name servers i serverstate statemap getserverobjectstate name if serverstate null do whatever available server localnaming serverobjectlookup name if server null a registration no object group for now if server instanceof checkpointable checkpointable server setstate serverstate ,set the server states , set the current value of the current path
67,public long return timetoliveseconds ,gets , returns the number of the last character in the current point
68,public int gettag return tag ,returns the tag which specifies its type this tag is a value between 0 and 8 as defined by the code item code constants in this class when java 5 is the minimum jvm for these constants can be replaced with an enum , gets the value of the column property return possible object is link int
69,public void settext final string text runnable runner new thread public void run resulttextarea settext text compsettings syncwithswing runner ,sets code text code to the text area this happens always within the code eventdispatchingthread code param text the string to set as text , add a text to the form
70,private void tryreducelevel h head d e if h level 3 d h down null e d down null e right null d right null h right null h d try to set h right null d h try to ,possibly reduce head level if it has no nodes this method can make in which case levels can even though they are about to contain index nodes this performance not correctness to minimize as well as to reduce the level is reduced by one only if the topmost three levels look empty also if the removed level looks non empty after we try to change it back quick before anyone our this works pretty well because this method will never make unless current thread immediately before first in which case it is very unlikely to again immediately afterwards so will recover we put up with all this rather than just let levels grow because otherwise even a small map that has a large number of insertions and removals will have a lot of levels down access more than would an unwanted reduction , create the ui
71,public instruction copy instruction i null constant instruction no need to duplicate if instructions this null i this else try i instruction clone catch clonenotsupportedexception e system err println e return i ,use with caution since have a reference which is not copied correctly only basic types are this also applies for instructions with their multiple branch targets see return shallow copy of an instruction , get the instruction handle of the query this is the top instruction of the stack this method returns the new instruction list that the search for the instruction list is found param o the new instruction to be executed return the added instruction
72,public int return pathiterator non zero ,return the rule used to determine the inside of this widelineiterator return the rule used to determine the inside of this widelineiterator , returns the number of elements in the list return number of count
73,public void updatevalue object command list options object context string getproperty command for iterator iter options iterator iter hasnext if matches labelvaluebean iter next return setproperty command getstrategy command getdefaultvalue options context ,default implementation of code updatevalue code which loops through the list of available options and compares them to the current value of the managed attribute in the code command code object p if the selected value is present in the list no modifications are done in the code command code otherwise a default value is retrieved by calling link list object and the code commandproperty code in the code command code is set to this value param command the object which will possibly be updated with a new object param options the list of options with which the managed value in the code command code will be compared param context a context that will be supplied to the code code for selecting an appropriate default value see list object , add a java object in the list of a string this is used to add the command to the java class param e the class of the parameters param parameters the object of the attribute
74,protected void addunmarshalltypepropertydescriptor object object itempropertydescriptors add createitempropertydescriptor composeableadapterfactory adapterfactory getrootadapterfactory getresourcelocator getstring ui unmarshallaction feature non nls 1 getstring ui propertydescriptor description ui unmarshallaction feature ui unmarshallaction type non nls 1 non nls 2 non nls 3 umlpackage literals unmarshall action unmarshall type true null null null ,this adds a property descriptor for the unmarshall type feature begin user doc user doc generated , this adds a property descriptor for the is remove feature begin user doc
75,public void addorpredicate string field object value int operator whereclause addorpredicate field value operator ,add new or predicate where condition with or operator ex where or field operator value param field param value param operator , add a field to a new value param field param value
76,public void init reader in try bufferedreader br new bufferedreader in constructor c getconstructor new class reader class if c null lex lexer c newinstance new object br else throw new runtimeexception constructor for lexer cannot be found catch exception ex throw new runtimeexception unable to create new lexer ex factory lex factory by type true lex init if laststate 1 if log isdebugenabled log debug lexer at state laststate lex setstate laststate lexergo true ,description of the method param in description of the parameter , this method is called when the xml has been closed this method is called when the xml implementation of the application is closed
77,public void long id int priority to be implemented ,set priority to execute the given command , set the current date of the current column param link the new value
78,public void setlimit int limit count 0 this limit limit return ,set a limit at which an exception will be thrown this allows callers to count the number of bytes up to some point without having to complete the count e g a caller may only want to see if some object will write out over bytes without waiting for all 200 000 bytes of the object to be written br if the passed in limit is 0 or negative then the stream will count bytes without throwing an exception see eofexception , sets the size of the current pass the current size of the current point will be set to zero param zero the new value of the new value
79,public string gettext object object string label expression object getname return label null label length 0 getstring ui expression type non nls 1 getstring ui expression type label non nls 1 non nls 2 ,this returns the label text for the adapted class begin user doc user doc generated , this returns the label text for the adapted class begin user doc
80,public int getmajorversion try return getregistereddriver getmajorversion catch sqlexception se return 0 ,returns the driver's major version number see java sql driver , what's the maximum version of this jdbc driver return jdbc driver version
81,private void writedata system out println enter write data try long write filetype catch ioexception e e printstacktrace system out println leave write data ,called within the write thread this does not return until the get closed , check if an error has been moved param i an event of an entity author michael w floyd since 0 5
82,public string if daterangedef null return null return daterangedef name ,gets the daterangename property string value return the daterangename property value see , gets the description of the description of the return value
83,public void setspeed int speed int turnrate int sidespeed setposition this xpos this ypos this yaw speed sidespeed turnrate byte 1 byte 0 ,set speed turnrate and sidespeed param speed x translational velocity in mm sec param turnrate angular velocity in mrad sec param sidespeed y translational velocity in mm sec , set the current x y axis param x the x coordinate of the position param y the y coordinate of the position param y the y coordinate of the position in the set
84,protected servicecontext getservicecontext int contextid return contextutil getservicecontext operationcontexts contextid ,get the service context by contextid the return value is a copy param contextid return the service context if found or null otherwise , find the service for a given name param name return
85,public logger debug entering return ,gets the handle on the collection manager instance return , return the uri of the current path
86,public boolean isallcomponentsvalid boolean result result iscompanynamevalid return result ,validate all components in the editor return true or false , check if the current state of the current table return true if the current value is visible
87,private void init throws mojofailureexception this this false this this outputdir true this filefilter new jsfilefilter this new ,processes maven parameters and save the results to instance variables , this method initializes settings return
88,public return new ,create an instance of link , create an instance of link org an util path
89,private void removelocaldirectory string tempdirname file tempfile new file tempdirname string filenames tempfile list if filenames null for int i 0 i filenames length i file newfile new file tempdirname file separator filenames i if newfile isfile true newfile delete else removelocaldirectory newfile getabsolutepath tempfile delete ,delete the specified local directory , saves the directory to the given directory
90,public list string userid throws internalexception logger debug userid try arraylist colllist arraylist dbaccess userid return makercobjects userid colllist catch accessexception ex logger error string error couldn't access the database ex throw new internalexception ex ,returns all collections for userid param userid return throws internalexception , returns the userid param userid return string
91,private void initnewfile throws ioexception make sure we're at the beginning filedata seek 0 write the header signature filedata write a temporary toc pointer filedata writelong 1 record where the data begins begindata filedata create a blank toc filetoc new vector write the toc to the file and remove any end slack writetoc begindata ,initializes a new evolvefile using the format specified above assumes that the object is correctly instantiated the currently loaded file will be and written out with an empty skeleton evolvefile format throws ioexception , close the table throws ioexception
92,public string gettext object object return getstring ui activitygroup type non nls 1 ,this returns the label text for the adapted class begin user doc user doc generated , this returns the label text for the adapted class begin user doc
93,public void setparent p parent parent parent ,sets the gui parent of this model in the editpart tree param parent the parent of this model in the gui tree , notify the parent of the parent
94,public void setattribute string name object value attributes put name tolowercase value ,set an attribute , sets the name of the attribute with the specified name param name the name of the attribute to retrieve param value the value of the attribute
95,private boolean frameexists int iframe return findframe iframe null ,see if a real frame exists param iframe return true if a frame already exists , checks if the current selection is a valid number return code true code if the current is valid and the current selection is a valid
96,public string loadfromstream inputstream is throws ioexception string text bufferedreader new bufferedreader new inputstreamreader is string line while line null line readline if line null text text line n is close return text ,reads text from an stream param is the input stream to read the text from return a string with the loaded text throws ioexception , read tag generate xml file throws ioexception
97,public void setvariable tridasvariable value this variable value ,sets the value of the variable property param value allowed object is link tridasvariable , sets the value of the value property param value allowed object is link tridasvocabulary
98,public bigdecimal tax t return vatamounts get t getid ,returns the amount of money for this entry and the given tax t returns null if no amount specified for this tax use before to ensure combo box selected single vat are taken into account , get the number of available in the list return the number of features in the map
99,public getservice return udpservice ,returns the code code required to register with a code code instance return the code code for this asyncudp instance , returns the composite that is associated with this composite return the composite that is being added to the
100,public boolean commit boolean assumedvalue boolean newvalue synchronized lock boolean success assumedvalue value if success value newvalue return success ,set value to newvalue only if it is currently assumedvalue return true if successful , set the value of newvalue param newvalue the value of the value value
101,public void visitnop nop o nothing is to be done here ,ensures the specific preconditions of the said instruction , ensures the specific preconditions of the said instruction
102,protected properties return properties getproperties ,return sge properties return properties as a properties object , creates and returns a code jmenu code for this class return the code composite code that represents the
103,public byte getid return id ,returns the id return byte , gets the id attribute of the catalog object return the id value hibernate id column id id id id id id id hibernate id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id id
104,public void cancelediting pilotdbrecord record int fieldindex throws exception editing false note record getnote fieldindex jtf setenabled false string string record getnotetitle fieldindex if string null return jtf settext string ,fill the fields with the value if it's there but don't update the record , fill the fields with the value if it's there
105,public void notifychanged notification notification updatechildren notification switch notification getfeatureid readisclassifiedobjectaction class case umlpackage read is classified object action is direct firenotifychanged new viewernotification notification notification getnotifier false true return case umlpackage read is classified object action result case umlpackage read is classified object action object firenotifychanged new viewernotification notification notification getnotifier true false return super notifychanged notification ,this handles model notifications by calling link updatechildren to update any cached children and by creating a viewer notification which it passes to link firenotifychanged begin user doc user doc generated , this handles model notifications by calling link updatechildren to update any cached children and by creating a viewer notification which it passes to link firenotifychanged begin user doc
106,public void int staminatrainingpart this staminatrainingpart staminatrainingpart ,set the staminatrainingpart param staminatrainingpart , sets the current time in the satellite
107,public void throws exception uses this nside can do this false ,try the nside cds use throws exception , test method for 'org simbio sim dm serialize protocolparser getexchanger ' 'protocolparsermake' has no tag should be ok
108,public void propertychange propertychangeevent evt if evt getsource instanceof tsholder evt getpropertyname tsholder ts added empty if evt getsource instanceof tsholder evt getpropertyname tsholder ts removed string evt getnewvalue tostring removets ,this method is called whenever there is a property change in the connected property fields the action depends on the source determined param evt a property change event , updates the ui property param evt the event
109,public boolean long delta return math abs localoffset delta delta ,returns true if the is smaller than a specified value param delta a code long code value representing the interval return a code boolean code value returns true if the time difference is smaller than delta , returns the current level of the current level in the given level
110,public void try sendheader player msgtype req player fiducial req get fov 0 os flush catch ioexception e throw new playerexception fiducial couldn't request player fiducial req get fov e tostring e ,request reply get set sensor field of view br br the field of view of the fiducial device can be set using the player fiducial req get fov request response will be null and queried using a null player fiducial req get fov request br br see the player fiducial fov structure from player h , configuration request get geometry br br see the player fiducial geom structure from player h
111,public void stop throws generalexception resource null ,close the file , stop the thread to stop the
112,public void reset throws executeexception if currentindex 0 return else throw new executeexception unable to reset enum value ,this class can't reset its position but subclasses may , this method is used to make the connection
113,public charcolor getbordercolors return theme getcolor theme color window border ,gets the bordercolors attribute of the window object return the bordercolors value , gets the current reference to the current reference return the current value of the reference
114,public parametertype int idim return parmetertype idim ,returns the prameter type for a specific data type required by coordinate3d param idim dimension number 0 2 return enum , get the number of a given range
115,private jpanel getjpanel if jpanel null jpanel new jpanel jpanel setlayout new borderlayout jpanel add getjpanel1 java awt borderlayout south jpanel add java awt borderlayout center return jpanel ,this method initializes jpanel return javax swing jpanel , this method initializes jpanel return javax swing jpanel
