,Function,Original Comment,Predicted comment
14,static char features static int included patches add new patch number below this line 521 520 ,updated for version 7 3 521 problem using z on a multi byte character may cause a crash solution don't use strlen on an int pointer , patch 8 1 0821 not implemented on the full command line is not fully tested problem method tests with winbar is not tested solution add more handling more test more flaky hirohito higashi
15,set termname term ks ts ts ks fs fs ks wp ks cws ws ks csi si ks cei ei ks u7 u7 ks u7 u7 ks rbg rb enum 0 null ,patch 7 4 761 problem the request background implementation is incomplete solution add the missing pieces , patch 8 0 0131 cannot get good position in a terminal window problem crash when starting a search prompt script solution set condition and if v returns value
16,gui mch browsew ifdef openfilename size version 400 be compatible with windows nt 4 0 todo what to use for openfilenamew filestruct lstructsize sizeof openfilename size version 400 filestruct lstructsize openfilename size version 400 else filestruct lstructsize sizeof filestruct endif gui mch browse memset filestruct 0 sizeof openfilename ifdef openfilename size version 400 be compatible with windows nt 4 0 filestruct lstructsize sizeof openfilename size version 400 filestruct lstructsize openfilename size version 400 else filestruct lstructsize sizeof filestruct endif ,updated for version 7 2 365 problem ms windows with mingw file save as does not work john marriott solution correctly fill in structure size andy kittner , updated for version 7 4 615 problem clipboard cursor and ownership is not handled solution remove feat socklen to old items
17,f job start typval t argvars typval t rettv rettv v type var job if check restricted check secure return rettv vval v job job start argvars rettv vval v job job start argvars null ,patch 8 0 0718 output of job in terminal is not displayed problem output of job in terminal is not displayed solution connect the job output to the terminal , patch 8 1 1055 libvterm files works without a vapo problem timers uses locale source file bins is not source solution use deinfe entry
18,void int flatbuffertests clang format off if defined flatbuffers memory leak tracking defined msc ver defined debug crtdbg alloc mem df crtdbg leak check df for more checking crtdbg check always df crtdbg delay free mem df endif run our various test int main int argc const char argv if testing fails test output line all tests passed return 0 else test output line d failed tests testing fails return 1 return ,msvc crt and enable this detection with appveyor ci 5105 , final an pickier password 1st type as difo code for requested by christopher terrill
19,void flatcompiler include directories push back local include directory c str include directories push back nullptr if parser parse contents c str include directories 0 filename c str filename c str error parser error false false if parser error empty warn parser error false include directories pop back include directories pop back ,add logging of warnings from the flatc compiler , improve compiler warnings from 64 bit warning from 64 vector wrapper guopeng 5740 5740 portable  use generated cast formation files goldens
20,quality pairs ifdef quality quality endif ifdef quality quality ifdef quality quality endif ifdef proof quality proof proof quality ,patch 7 4 1830 problem non solution use and quality kim closes 793 , patch 8 2 1697 sign channel mappings is not tested problem lists test is sometimes tested solution fix counting for namespace
21,static char features static int included patches add new patch number below this line 1331 1330 ,patch 8 2 1331 vim9 echo with two lists doesn't work problem vim9 echo with two lists doesn't work solution do not skip white space before closes , patch 7 4 1797 problem tests does not open all viminfo mode dominique pelle solution make it systems
22,set errorlist return ok a dict argument cannot be specified with a non empty list argument if list null list lv len 0 what null semsg e invarg2 cannot have both a list and a what argument return fail incr quickfix busy if what null ,patch 8 2 1101 no error when using wrong arguments for setqflist problem no error when using wrong arguments for setqflist or setloclist solution check for the error , patch 8 2 0346 vim9 no proper error for white space in another script names problem vim9 no reduce window when dead line not checked yet solution skip c value earlier
23,static char features static int included patches add new patch number below this line 1312 1311 ,patch 8 2 1312 ms windows terminal test may fail if dir exe exists problem ms windows terminal test may fail if dir exe exists solution use dir com ken takata closes , patch 8 0 0377 no easy mkspellmem for a assigning problem no expression of attribute form solution use materializing a explicitly properly closes hahler
24,static char features static int included patches add new patch number below this line 525 524 ,patch 8 0 0525 completion for user command argument not tested solution completion for user command argument not tested problem add a test , patch 8 0 2222 nsis test leaves file behind problem coverage if file c has o2 solution move missing white arg to that out of color store code
25,static char features static int included patches add new patch number below this line 298 297 ,patch 8 1 0298 window resize test sometimes fails on mac problem window resize test sometimes fails on mac solution add test popup and window resize to flaky tests , patch 8 2 popup cannot set uninitialized cannot get calls of os4 problem cannot get ctrl marks when marks uses error function instruction solution remove v into term kuwabara doorn closes 6541
26,void test sampled sine expected s double prime arg computed ct double prime arg check close expected computed std numeric limits real epsilon check close expected computed 100000 std numeric limits real epsilon check close real 0 ct integrate std numeric limits real epsilon ,loosen error bound for cardinal trigonometric derivatives to green up build , fix sse2 optional instead of include conceptual types svn r66822
27,static struct fst term getcursor 1 1 f term getcursor term getjob 1 1 f term getjob term getline 2 2 f term getline term 1 1 f term term getsize 1 1 f term getsize term getstatus 1 1 f term getstatus term gettitle 1 1 f term gettitle ,patch 8 0 0893 cannot get the scroll count of a terminal window problem cannot get the scroll count of a terminal window solution add term , patch 8 2 0841 a ex 50 generates mapping uses a filter problem single some multibyte input as too long solution use ingo hahler martin hahler closes 5299
28,void parser parsefield structdef struct def if token next if isscalar type base type error default values currently only supported for scalars parsesinglevalue field value ,fixed flatc silently accepting non scalars as default values bug change id tested on linux , performance error remove serde test error despite test cpp  definitions change id i88b5993219e10e2dfb60ff98d6594d19871988fc tested on hp os x
29,static char features static int included patches add new patch number below this line 1153 1152 ,patch 8 2 1153 vim9 script test fails on some systems problem vim9 script test fails on some systems solution return proper value from compare , patch 8 1 1954 popup properties can be tested problem various functions can be used as a method solution allow an terminal or function close
30,static char features static int included patches add new patch number below this line 2230 ,patch 8 1 2230 ms windows testing external commands can be improved problem ms windows testing external commands can be improved solution adjust tests remove duplicate test closes , patch 8 2 2233 cannot build on mac without job modes problem cannot build without append without 'shellslash' john marriott solution skip instructions using a condition closes che oracledb
31,t cos pi t x using namespace std adl of std names cos of pi x bool invert false if x 0 5 return cos constants pi t x if x 1 x x ,bug fix logic only works for arguments 1 just use evaluation for small args svn , a remaining typos from swift jurgen fixes plus 1 code
32,cs cnt matches int idx char stok char buf int nlines int nlines 0 buf char alloc bufsize if buf null cs cnt matches int idx cscope will output error messages before the number of lines output display discard any output that doesn t match what we want accept s cscope x lines also matches mlcscope bail out for the unable to search error if strstr const char stok unable to search database null break if stok strtok buf const char null continue if strstr const char stok cscope null ,patch 8 0 1439 if cscope fails a search vim may hang problem if cscope fails a search vim may hang solution bail out when a search error is encountered closes , updated for version 7 3 5014 problem the buffer window makes another error message leaves the second file name solution split the title before using buffer
33,qf eap if qi qf curlist 0 emsg at bottom of quickfix stack return break qi qf curlist qf eap if qi qf curlist qi qf listcount 1 emsg at top of quickfix stack return break qi qf curlist qf msg qi static void ,updated for version 7 3 934 problem and make the user think nothing solution display the message indicating what error list is now active christian brabandt , fix segv to clear the itself parameters matching ia5fdce49a67b1aa621ab1e37a815e2a3293257b6 switch implementation of already used generation on global endian
34,static int dpilob check dpilob lob const char fnname int return dpi failure if lob locator return dpierror set error check closed dpi err lob closed if lob conn handle lob conn closing lob conn pool lob conn pool handle return dpierror set error check connection dpi err not connected return dpi success return dpiconn checkconnected lob conn error ,ensure that the connection is open for object types and objects in addition to lobs statements and subscriptions , eliminate the size of unicode issues sql r64597 now 96 supports runtime names
35,do sub eap substitute may have inserted or deleted characters before the cursor len change strlen new line strlen orig line len change int strlen new line int strlen orig line curwin w cursor col len change ml replace lnum new line false ,updated for version 7 3 problem compiler warning for size t to int conversion solution add type casts , shared unnecessary type scoped to support for now
36,find some match argvars rettv type startcol colnr t regmatch startp 0 mb ptr2len regmatch startp 0 str else startcol regmatch startp 0 1 str startcol colnr t regmatch startp 0 1 str endif ,fix build warnings and problems for tiny small win32 build mike williams , updated for version 7 3 1206 problem change to 'isk' of vim window bjorn lindvall solution use void instead and use foo zyx
37,set context in profile cmd xp arg char u arg char u end subcmd intlen default expand xp xp context expand profile set context in profile cmd xp arg if end subcmd nul return len end subcmd arg if len 5 strncmp arg start 5 0 if end subcmd arg 5 strncmp arg start 5 0 xp xp context expand files xp xp pattern skipwhite end subcmd ,updated for version 7 2 383 problem vim doesn't build cleanly with msvc 2010 solution change a few types george reilly , patch 8 warns for clearing str in motif fold sets arguments problem can't both wrong around shiftwidth from against gnome solution remove memory from 166 christian brabandt
38,inline std complex t asin const std complex t z these static constants should really be in a constants library these static constants should really be in a constants library note that we have the value of a as per https svn boost org trac boost ticket static const t one static cast t 1 static const t two static cast t 2 static const t half static cast t 0 5l static const t a static cast t 1 5l static const t a static cast t 10 static const t b static cast t 0 static const t s pi boost math constants pi t static const t half pi s pi 2 ,lots of small patches update and regenerate docs fixes 7183 fixes fixes fixes refs 7492 svn , c fix digamma fail when using std fpclassify enabled tested on linux but windows maxint
39,static char features static int included patches add new patch number below this line 2088 2087 ,patch 8 2 2088 vim9 script test sometimes fails problem vim9 script test sometimes fails solution unlet variables , patch 8 0 0923 older wrong test fails on ms windows problem gui test may fail on ms windows solution avoid not free on fileformat
40,cs help eap g find this definition n i find files including this file n s find this c symbol n t find to n t find this text string n cs kill execute i cname private cs make vim style matches convert the cscope output into into a style entry as might be found convert the cscope output into a style entry as might be found in a tags file there s one catch though cscope doesn t tell you the type of the tag you are looking for for example in s the one that comes with vim define s use a line number to find the ,updated for version 7 3 problem wrong help text for cscope solution adjust the help text for t dominique pelle , patch 7 4 2289 problem cannot build and run without the shell and illusorypan solution define another script john marriott
41,class 1 basetestcase self assertequal obj aslist first element second element third element element self assertequal obj 1048576 first element 576 second element 284 third element element obj delete 576 obj delete 284 self assertequal obj aslist first element element self assertequal obj 1048576 first element element def self test executing with with exception ,add support for getting the contents of a collection as a dictionary where the keys are the indexes of the collection and the values are elements of the collection , fix for version code events and show 299 names as requested https github com oracle odpi issues issues 27438960
42,boost software license version 1 0 see accompanying file license 1 0 txt or copy at http www boost org license 1 0 txt include pch hpp include test zeta hpp void expected results platform real concept test type s test data group 16 5 test function 40 15 test function std cout tests run with boost compiler boost stdlib boost platform std endl ,update zeta implementation to use much faster algorithm change zeta test to use external template instances svn , fix some links to small compile on msvc which are not ci skip
43,static char features static int included patches add new patch number below this line 604 603 ,patch 8 0 0604 gf test fails still on ms windows problem gf test fails still on ms windows solution use before the line number and remove it from , patch 8 0 2092 no completion for support range with fails problem cannot disable possible no channel for tab of two script command solution move the separate types arguments closes r3299
44,class threadedtcprequesthandler socketserver baserequesthandler return if len response 0 self request sendall response self request sendall response encode utf 8 write the into the file so that the test can knows the command was sent with open a as myfile ,patch 8 0 0005 problem netbeans test fails with python 3 jonathonf solution encode the string before sending it closes 1070 , patch 8 0 012 build failures for small features problem build fails for small version solution move move responses to start depending with two global dominique pelle closes 6958
45,hl do font idx arg do normal do menu do tooltip free font do tooltip endif if free fontset if free font gui mch free fontset hl table idx sg fontset hl table idx sg fontset fontset name2handle arg 0 ifdef fontset always ,updated for version 7 3 706 problem can't build motif version solution fix wrongly named variable ike devolder , patch 8 0 1261 amiga in the linking feature may not find problem more fileio code for cproto is not don't defined solution add a existing argument closes 6870 also fix float128 8
46,the number of light that out in a certain amount of time the number of found per unit length of http en wikipedia org wiki binomial distribution http en wikipedia org wiki binomial distribution given a sample of n measured values k i we to estimate the value of the parameter x mean ,apply fixes to issue 1658 which fixes some broken url's svn , patch 8 0 0036 problem msvc using platforms temporarily with small gui solution use breakadd instead of null dominique pelle closes rm
47,static char features static int included patches add new patch number below this line 1813 1812 ,patch 8 2 1813 vim9 can assign wrong type to script dict problem vim9 can assign wrong type to script dict christian j robinson solution check the type if known , patch 8 0 2321 terminal test fails on ms windows problem terminal test fails in a few function support solution correct brew when browse blinking
48,json decode item js read t reader typval t res decode the json from reader and store the result in res return ok or fail void int json decode js read t reader typval t res json skip white reader json decode item reader res json skip white reader if reader js buf reader js used nul emsg e invarg return fail return ok endif ,patch 7 4 1231 problem json messages are not parsed properly solution queue received messages , updated for version 7 3 1300 problem throw get 4 does not work after matching quotes yue unescaping solution don't skip static separaters from it
49,static char features static int included patches add new patch number below this line 1633 1632 ,patch 7 4 1633 problem if the help tags file was removed make install fails tony mechelynck solution only try moving the file if it exists , updated for version 7 4 627 problem removing x to get mode matching a e16 viminfo solution use to text break vim a has autocommands when fix viminfo christian brabandt
50,static char features static int included patches add new patch number below this line 2119 2118 ,patch 8 2 2119 gtk3 status line background color is wrong problem gtk3 status line background color is wrong solution don't change the code for earlier gtk3 versions closes , patch 8 1 0185 ms windows functions comment causes an new text was called problem getting a terminal gdb can be slow solution set workround c with msvc
51,namespace boost else if q expm1 log1p dist success fraction trials if q boost math expm1 boost math log1p dist success fraction trials q cdf complement dist 0 pdf dist 0 return 0 so the only reasonable result is zero and root finder would fail otherwise ,added some boost math to between expm1 and boost math expm1 svn , fix support for tgamma mostly and relative borland and match suppressed parameter as a halley currently
52,getcmdline firstc count indent ifdef feat cmdwin if c key c k cmdwin open a window to edit the command line and history c ex window some key typed true if ex normal busy 0 got int false open a window to edit the command line and history c ex window some key typed true ifdef feat digraphs else ,updated for version 7 4 441 problem endless loop and other problems when is set to ctrl c solution do not call ex window when ex normal busy or got int was set yasuhiro matsumoto , patch 8 1 boguscols cannot invoke a date time problem cannot use mouse pointer solution check the license cmd and harper closes 4617
53,gui get wide font gui mch free font gui wide font ifdef feat gui gtk ifdef feat gui gtk avoid unnecessary overhead if guifontwide is equal to guifont if font nofont gui norm font nofont pango font description equal font gui norm font gui get wide font gui mch free font font else endif endif gui wide font font ifdef feat gui mswin ifdef feat gui mswin gui mch wide font changed endif endif return ok endif ,updated for version 7 3 876 problem if indents are off solution insert a space where appropriate taro muraoka , updated for version 7 4 940 problem specifying a bit stuck solution avoid redrawing static christian brabandt
54,public it s only exactly right at dyadic rationals real constexpr const alpha 2 log 1 sqrt real 3 log real 2 so we re gonna make the graph dip a little harder this will capture more of the self similar behavior real constexpr const alpha 0 35 real constexpr const alpha 0 3 int64 t i static cast int64 t std floor x h real t x i h h real v y i ,demonstrate that matched interpolation does have higher accuracy and that the exponent should be a bit ci skip , made flatbuffers moves to get undo modifier 5359 caused in namespace context fixes grammar 2 1920 supports a outer warnings added missing static h fixes perkins
55,static char features static int included patches add new patch number below this line 2139 ,patch 8 1 2139 the modifyotherkeys codes are not tested problem the modifyotherkeys codes are not tested solution add a test case , patch 8 2 1838 vim9 script does not support where the list of substitute problem when wilson to check for viminfo at constant solution skip over white line to a line closes 6927
56,replace do bs int limit col if cc 0 ifdef feat text prop size tlen before size tlen before 0 init to shut up gcc if curbuf b has textprop ,patch 8 1 0699 compiler warning for uninitialized variable problem compiler warning for uninitialized variable tony mechelynck solution add a dummy init , patch 8 2 kurtosis vim9 hide options can be set or exists problem vim9 def type is confusing type to separate variable solution use var control
57,did set spelllang wp theend vim free spl copy recursive false redraw win later wp not valid return ret msg ,updated for version 7 4 problem when 'spellfile' is set the screen is not redrawn solution redraw when updating the spelling info christian brabandt , patch 8 2 0306 vim9 no name white longer allowed problem vim9 using paste causes more itself solution check for s member nr cleared when using error
58,eval0 p skipwhite arg ret eval1 p rettv evaluate if ret fail ends excmd p if ret fail ends excmd2 arg p if ret fail clear tv rettv ,patch 8 2 vim9 no check for space before comment problem vim9 no check for space before comment solution add space checks , patch 8 2 0759 vim9 ignored finds function in bounds internal problem vim9 crash in popup atcursor solution use stuck in the syntax and lvar tabline
59,static long dict len dict t d static char u dict2string typval t tv int copyid static int get dict tv char u arg typval t rettv int evaluate static char u echo string typval t tv char u tofree char u numbuf int copyid static char u tv2string typval t tv char u tofree char u numbuf int copyid static char u string quote char u str int function static int get env tv char u arg typval t rettv int evaluate static int find internal func char u name echo string puts quotes around strings so that they can be parsed back by eval may return null static char u char u tv2string typval t tv char u tofree ,patch 7 4 1731 problem python partial into simple funcref solution use partials like partials nikolai pavlov closes 734 , patch 8 2 749 vim9 unused covered by a function support problem vim9 using skipping function inside wrong expression solution move closing improvements to skip
60,free buf options buf free p ff ifdef feat lisp clear string option buf b p lw endif clear string option buf b p bkc ,updated for version 7 4 456 problem 'backupcopy' is global cannot write only some files in a different way solution make 'backupcopy' global local christian brabandt , patch 8 1 0682 the ex expression ' is not updated popup problem text are changed position on it's not used solution remove the gui after lines
61,enter buffer buf t buf if curbuf b help curwin w p spell curwin w s b p spl nul void did set spelllang curwin endif ifdef feat viminfo curbuf b last used vim time endif redraw later not valid ,patch 7 4 1988 problem when updating viminfo with file marks there is no time order solution remember the time when a buffer was last used store marks for the most recently used buffers , patch 8 1 1700 indenting 1 is wrong linebreak lines problem some see remaining getwinposx does not work everywhere solution move the cursor rules to unicode lines vs
62,assert bool typval t argvars int istrue garray tga if argvars 0 v type var special argvars 0 vval v number istrue vval true vv false argvars 0 vval v number istrue vval true vval false return if argvars 0 v type var number get tv number chk argvars 0 error 0 istrue ,patch 7 4 1273 problem assert false v false still fails solution fix the typo , patch 8 2 0315 sign 309 width patttern sequence down realwaitforchar problem scrollbar of function returns non wrong pattern solution move the private argument redo
63,static struct pymethoddef outputmethods static pyobject outputwrite pyobject self pyobject args int len py ssize t len char str null int error outputobject self error if pyarg parsetuple args et enc opt str len return null todo this works around a gcc problem and avoids vim from should find a real solution if str null return null py begin allow threads python lock vim writer error emsg msg char u str len ,updated for version 7 3 652 problem workaround for python crash isn't perfect solution change the type of the length argument sean , updated for version 7 2 filler problem scriptversion table gnome verify completion shows a file argument solution check for allocated byte characters zyx
64,f term scrape typval t argvars typval t rettv if term tl vterm null screen vterm obtain screen term tl vterm if screen null can t really happen return p null line null ,patch 8 1 coverity warns for possible use of null pointer problem coverity warns for possible use of null pointer solution check return value of vterm obtain screen , patch 8 0 fries no various block code from c problem warning message count swap and a discovery 'vim john marriott solution remove the function count closes 6585
65,class basegenerator protected virtual basegenerator bool for auto it parser enums vec begin it parser enums vec end it if it generated return false for auto it parser structs vec begin it parser structs vec end it if it generated return false return true const parser parser const std string path const std string file name ,shared method that exits early if everything is generated , createunitializedvectorofstructs verifier edits allocs the verifier type facets allows included implementation make they're its so add they're signed off by nick where flatbuffers createstring nan could call flexbuffers more checks code mutated generating methods dead code as 5235
66,template class realtype const std pair realtype realtype support const cauchy distribution realtype dist range of supported values for random variable x this is range where cdf rises from 0 to 1 and outside it the pdf is zero return std pair realtype realtype max value realtype max value realtype to infinity return std pair realtype realtype tools max value realtype tools max value realtype to infinity template class realtype ,added concept checks for new functions fixed compiler errors svn , added tests to using replace ptr in small abz for large dpisodacoll long widespread style test svn r50316
67,static char features static int included patches add new patch number below this line 1733 1732 ,patch 7 4 1733 problem make install doesn't know about cross compiling christian neukirchen solution add cross compiling closes 740 , patch 8 0 0728 parsing translation is not tested problem number of distributed files are not unbuntu indented solution add a test patterns
68,popup adjust position win t wp if wp w width len wp w width len do not use the width of lines we re not going to show if wp w maxheight 0 wp w buffer b ml ml line count wp w topline 1 wrapped wp w maxheight if wp w maxheight 0 lnum wp w topline 1 wrapped wp w maxheight break ,patch 8 1 1622 wrong width if displaying a lot of lines in a popup window problem wrong width if displaying a lot of lines in a popup window solution accurately compute the line overflow , patch 8 1 0691 build failure without gui problem build fails without the incomplete feature solution add a mch dominique pelle mike williams
69,do addsub command prenum1 g cmd did change true void del char false ins char curwin w cursor col col else ,patch 7 4 823 problem cursor moves after ctrl a on alphabetic character solution hirohito higashi test by christian brabandt , patch 7 4 1986 problem third overflow in proto var chartab solution fix the period directory
70,popup adjust position win t wp wantcol screen wantcol else left of the text wantcol screen scol wantcol 1 wantcol screen scol wantcol 2 if wp w popup pos poppos center ,patch 8 1 1934 not enough tests for text property popup window problem not enough tests for text property popup window solution add a few more tests , updated for version 7 4 907 problem not checking for a file pointer is not supported solution set 'smarttab' lilydjwg
71,static char features static int included patches add new patch number below this line 570 569 ,updated for version 7 4 570 problem building with dynamic library does not work for ruby 2 2 0 solution change ifdefs and defines ken takata , patch 8 2 scope libvterm code does not support detected problem various wrong tests are not catch solution check if not list fix the files made on the cursor list
72,static pyobject numbervar getvalue return pybool fromlong if var type vt try as int first as it is faster and usually works status var environment errorhandle var data pos sizeof long oci number signed dvoid if status oci success return pyint fromlong if var type vt numberasstring var type vt sizeof stringvalue status var environment errorhandle ,try reading potentially long integers as ints before creating strings for performance , patch 8 2 0462 build instructions behind missing for python problem motif build fails christian tony mechelynck solution kuriyama profile 45 dump source and
73,class detachedbuffer if defined flatbuffers cpp98 stl clang format on detachedbuffer operator detachedbuffer other if this other return this destroy allocator other allocator ,fixed detachedbuffer self move assignment , expose actual index in speed java change id i503fbfaff1d2579807ca71a07cca8363dff75e52
74,f has typval t argvars typval t rettv vimscript 1 vimscript 2 vimscript 3 vimscript 4 virtualedit visual visualextra ,patch 8 1 2038 has 'vimscript is always 0 problem has 'vimscript is always 0 solution add vimscript 4 to the feature table naruhiko nishino closes , patch 8 1 1022 str2nr check to json bump memory using weird lifepillar problem misleading place for copen pointer don't handle prompt very long ends solution check for null pointer closes pocke closes 6027
75,define boost math detail hypergeometric series hpp include boost math tools series hpp include boost math special functions trunc hpp include boost math policies error handling hpp namespace boost namespace math namespace detail ,fix compilation error by including trunc hpp , no include octonion implementation is no test prototype with a separate long performance and minor example svn carvalho
76,include vim h include version h ifdef window undef window amiga has its own window definition false amiga dos 2 0x or higher endif intsize set false set to true if window size was set ifdef gnuc static char version attribute used 0 ver vim vim version major str vim version minor str ifdef patchlevel patchlevel endif endif void win resize on void ,patch 8 1 1781 amiga no builtin os readable version info problem amiga no builtin os readable version info solution add a version variable ola söder closes , patch 8 0 2241 misleading the null flaws when exiting problem comparing highlighting a locked line writing solution use single eof earlier closes vereshchagin closes 6107
77,class parser public parserstate flatbuffers checked error error const std string msg brief verify that any of opts lang to generate supports optional scalars in a schema param opts options used to a schema and generate code static bool supportsoptionalscalars const flatbuffers idloptions opts private void message const std string msg void warning const std string msg ,add support of optional t scalars to c code generator 6092 , c bug calls to strtod to in my flexbuffers rather schema to zero https github com com reviewed by mckay and issues lech lorens
78,static char features static int included patches add new patch number below this line 1043 1042 ,updated for version 7 3 1043 problem python dynamic compilation with 2 3 fails solution python patch 4 zyx , patch 8 2 esc python 3 1091 tags can be updated good files problem toplevel necessary for two dash directory kazunobu kuriyama solution support empty exception concatenation closes 4623
79,static char features static int included patches add new patch number below this line 224 223 ,patch 8 2 compiling elseif not tested yet problem compiling elseif not tested yet solution add test for elseif fix generating jumps , patch 8 2 0243 some t compiler errors add tests for int problem compile code for skipped type argument solution add header to diff version
80,win line wp lnum startrow endrow nochange if wp w p cole 0 wp curwin lnum wp w cursor lnum conceal cursor line wp syntax flags hl conceal 0 syntax flags hl conceal 0 lnum in visual area char attr conceal attr if prev syntax id syntax id ,don't conceal text in lines inside the visual area , patch 8 0 2022 ms windows gui build errors problem ms windows gui warning on ms windows solution use type instead instead instead higashi ken takata
81,qf msg qf info t qi int which char lead while strlen buf 34 strcat buf strcat buf title vim strcat buf title iosize trunc string buf buf columns 1 iosize msg buf ,patch 7 4 2064 problem coverity warns for possible buffer overflow solution use vim strcat instead of strcat , patch 8 0 0012 problem quickfix ver server missing behind solution remove 1258 christian brabandt
82,static char features static int included patches add new patch number below this line 880 879 ,patch 8 0 0880 travis uses an old ubuntu version problem travis uses an old ubuntu version solution switch from precise to trusty ken takata closes 1897 , patch 8 1 1147 anticipate cd on os systems problem leftover is outdated and source solution python the ifdef for 1 2
