,Function,Original Comment,Predicted comment
13,tfliteregistration micro register average pool 2d return register average pool 2d tfliteregistration register max pool tfliteregistration micro register max pool return register max pool tfliteregistration register max pool 2d tfliteregistration micro register max pool 2d return register max pool 2d allopsresolver allopsresolver allopsresolver allopsresolver addbuiltin builtinoperator fully connected micro register fully connected min version 1 max version 2 addbuiltin builtinoperator max pool 2d micro register max pool addbuiltin builtinoperator max pool 2d micro register max pool 2d addbuiltin builtinoperator softmax micro register softmax addbuiltin builtinoperator average pool 2d micro register average pool 2d ,fix review comments rename max pool to max pool d in order to be consistent use for printing input type in error message , add support for int int piperorigin revid
14,register op textlinedataset output handle variant setisstateful todo b 65524810 source dataset ops must be marked stateful to inhibit constant folding setshapefn shape inference scalarshape todo mrry validate that filenames is a scalar or a vector setshapefn shape inference inferencecontext c shape inference shapehandle unused filenames must be a scalar or a vector tf return if error c withrankatmost c input 0 1 unused return shape inference scalarshape c register op sqldataset input driver name string ,add shape check to textlinedataset op , fix a bug in the test case piperorigin revid
15,int main int argc char argv usage 65536 65536 void 65536 65536 for i 1 i 512 i struct sigaction sa sigset t ss ,re add the priv dropping in case we get run as root , fix a bug in the watchdog process
16,void export the standard tensorflow lite runtime if you have a custom implementation for them you can disable this error with allow custom ops or by setting allow custom ops true when calling tf contrib lite toco convert here is a list when calling tf contrib lite tococonverter here is a list of operators for which you will need custom implementations absl strjoin error summary final ,documentation fixes piperorigin revid , fix a bug in the file in the file piperorigin revid
17,make tooltip beval text pt delete tooltip beval ballooneval beval postmessage beval balloon wm close 0 0 postmessage beval balloon wm destroy 0 0 postmessage beval balloon wm ncdestroy 0 0 ,patch problem tooltip window stays open solution send a wm close message jurgen kramer , patch problem when using a popup window with a terminal window solution add the cursor to the current buffer when the cursor is set
18,class decodejpegbenchmark test benchmark start time time time for in xrange num iters sess run r return time time start time end time time time return end time start time def self ,don't wait for session close to finish when calculating benchmark timing piperorigin revid , tf data service support for tf data dataset piperorigin revid
19,class foresthparams object def init self kwargs for name value in kwargs iteritems for name value in kwargs items setattr self name value def values self ,fixing tensor forest for python compatibility , fix a bug in the docstring of the test piperorigin revid
20,class raggedtensor composite tensor compositetensor new shape dim size ragged rank 1 input shape ragged rank else dim size math ops cumprod input shape new shape array ops concat dim size ragged rank new shape array ops concat dim size ragged rank 1 input shape ragged rank axis 0 flattened array ops reshape tensor new shape ,bug fix for raggedtensor from tensor t piperorigin revid change id , tf data optimizer to use the gradient of the gradient of the gradient of the gradient of the gradient of the gradient of the gradient of the gradient of the gradient piperorigin revid
21,class literal other temp new literal of a given rank to minimize ambiguity for users creates a new literal of a given rank to minimize ambiguity for users and the compiler these 0 2 methods should explicitly specify the native type for example ,fix typo in comment nfc piperorigin revid , xla python fix for the build piperorigin revid
22,get errorlist properties win t wp dict t what dict t retdict use the specified quickfix location list if di di tv v type var number qf idx di di tv vval v number 1 if qf idx 0 qf idx qi qf listcount return fail for zero use the current list if di di tv vval v number 0 qf idx di di tv vval v number 1 if qf idx 0 qf idx qi qf listcount return fail flags qf nr else ,patch problem cannot get the number of the current quickfix or location list solution use the current list if nr in what is zero yegappan lakshmanan remove debug command from test , patch problem when using a terminal window is a bit slow solution add a test for the gui
23,static char features static int included patches add new patch number below this line 477 476 ,patch vim error messages not tested problem vim error messages not tested solution add more tests , patch problem when using a channel to be a bit a bit slow solution add a test for the test
24,nv screengo oap dir dist intwidth2 test width for wrapped screen line oap motion type mchar oap inclusive false oap inclusive curwin w curswant maxcol col off1 curwin col off col off2 col off1 curwin col off2 ,updated for version a problem using does not delete the last character zyx solution set the inclusive flag properly , patch problem when using a popup window with a terminal window solution add the option to the current line
25,class gpuobject gpuobject const gpuobject delete gpuobject operator const gpuobject delete virtual gpuobject default virtual const gpuobjectdescriptor getgpudescriptor const 0 virtual gpuresourceswithvalue getgpuresources accesstype access type const 0 ,removed virtual method gpuobjectdescriptor for gpuobject piperorigin revid change id , fix a bug in the test piperorigin revid
26,static char features static int included patches add new patch number below this line 2089 2088 ,patch problem color handling of x guis is too complicated solution simplify the code use rgba where appropriate kazunobu kuriyama , patch problem when using a channel to be a bit a bit slow solution add a test for the test
27,namespace data static constexpr const char const prefetchdatasetop koutputshapes static constexpr const char const prefetchdatasetop kslackperiod static constexpr const char const prefetchdatasetop klegacyautotune static constexpr const char const prefetchdatasetop kbuffersizemin determines the fraction of slack time by which to delay prefetching of data constexpr double ksleepfactor 0 2 ,tf data add the to cc file to solve some bug piperorigin revid change id , fix a bug in the new delegate piperorigin revid change id ibebfcffdcbdbdafeb
28,import numpy as np from tensorflow python import keras from tensorflow python data experimental ops import cardinality from tensorflow python data experimental ops import distribute options from tensorflow python data experimental ops import writers from tensorflow python data experimental ops distribute options import autoshardpolicy from tensorflow python data ops import dataset ops from tensorflow python data ops import readers from tensorflow python distribute import central storage strategy class test testcase dataset dataset filter dummy op batch 8 drop remainder true options dataset ops options options experimental distribute auto shard policy autoshardpolicy file options experimental distribute auto shard policy distribute options autoshardpolicy file dataset dataset with options options model predict dataset steps 1 ,update how we import data experimental ops distribute options autoshardpolicy piperorigin revid change id , tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental tf data experimental v piperorigin revid
29,static logicalresult oppassmanager pm keep return emiterror a crash has been detected while processing the mlir module a a failure has been detected while processing the mlir module a has been generated in ' ' ,make diagnostic a bit clearer this prints out in case of any pass failure not just a crash piperorigin revid change id , fix a bug in the new op api piperorigin revid change id iaaeaebbe
30,static int add fd unsigned int chance char b int flags int fd 1 if unsigned int rand 100 chance if unsigned int rand 5000 chance fd open b flags o nonblock if fd 0 return 1 openit void open files more open fds sys kernel debug open fds dev open fds proc open fds sys if fds left to create 0 goto more void close files ,some random files tweaks add files to the mix decrease the likelyhood of a file being added keep scanning for files until we have enough , fix a bug in the watchdog process
31,class precalculatedprimetable public primetable std fill is prime is prime is prime size true is prime 0 is prime 1 false for int i 2 i max i checks every candidate for prime number we know that 2 is the only even prime for int i 2 i i max i i 2 1 if is prime i continue marks all multiples of i except i itself as non prime for int j 2 i j max j i we are starting here from i th multiplier because all smaller complex numbers were already marked for int j i i j max j i is prime j false ,oss sync cl , fix a bug in the file file in the file
32,class reshape public nodeshader auto output ctx graph findoutputs ctx node id 0 if input tensor shape dimensionsproduct output tensor shape dimensionsproduct return invalidargumenterror dimensions product is reshape don't match return invalidargumenterror number of elements in input output tensors don't match auto attr absl any cast reshapeattributes ctx node operation attributes if input tensor shape dimensionsproduct output tensor shape dimensionsproduct return invalidargumenterror dimensions product is reshape don't match if attr new shape output tensor shape return invalidargumenterror dimensions for output does not match new shape attribute ,remove duplicate error check in reshape piperorigin revid change id , xla gpu support for the layout inference piperorigin revid change id id ibaaeabeded
33,class resource variable ops baseresourcevariable else return self handle property def packed handle self return self handle def read variable op self if context executing eagerly return self get var on current device value ,introduce a savecontext to detect whether we are building a graph for a savedmodel and don't use packed variables under a savecontext piperorigin revid change id , fix a bug in the gradient of the gradient of the gradient of the gradient of the gradient of the gradient of the gradient of the gradient of the gradient piperorigin revid
34,from tensorflow contrib learn python learn experiment import experiment from tensorflow python platform import flags from tensorflow python platform import tf logging as logging flags define string 'output dir' '' 'base output directory made ' 'available to the experiment builder function passed ' 'to run all files written by the experiment are ' flags flags flags ,move output dir flag definition to runner flags py and add an sh test for runner flags to test whether the flags are being processed correctly by learn runner change , tf data fix a bug in the graph piperorigin revid
35,test use tuple args true compilation result expect eq s code tensorflow errors code invalid argument expect eq s tostring invalid argument could not parse mlir module stdin error invalid argument could not parse mlir module 1 1 error custom op is unknown n ,update debug info tests after upstream mlir change piperorigin revid change id , xla python fix a bug in the hlo evaluator piperorigin revid change id idbeeaeaafcaeeaafafffe
36,std vector string hloinstruction extraattributestostring const if extra push back strcat dimensions join dimensions if window nullptr if window nullptr window dimensions size 0 extra push back strcat window window util tostring window if padding config nullptr ,hlo parser allow empty convolution window window is not required for a convolution on a d shape piperorigin revid , xla gpu support for the xla client piperorigin revid
37,typename distribution resulttype tail processing if any put the tail condition out of above loop to improve performance it will be executed only once and save time on cpu if offset kresultelementcount sample gen for int i 0 offset kresultelementcount i offset ,add comment to explain why need to put condition out of loop , fix a bug in the new delegate test piperorigin revid
38,class word2vec object initial epoch initial words self session run self epoch self words summary op tf contrib deprecated merge all summaries summary op tf summary merge all summary writer tf summary filewriter opts save path self session graph workers for in xrange opts concurrent steps ,replace using of tf contrib deprecated merge all summaries with tf summary merge all the implementations are identical tf summary merge all is the canonical location change , fix a bug in the documentation of the documentation of the documentation of the new class change
39,register op register op modeldataset input input dataset variant output handle variant attr cpu budget int 0 attr output types list type 1 attr output shapes list shape 1 setshapefn shape inference scalarshape ,tf data exposing an option for specifying the cpu budget for autotuning parallelism and nesting the autotuning related options under experimental optimization piperorigin revid , tf data dataset support for tf data dataset piperorigin revid
40,class layoutassignment public hlopassinterface case we have to undo operations due to the multiple passes over the computations instructions channellayoutconstraints channel constraints the set of hlo instructions which any layout constraint thus receiving propagated default layouts tensorflow gtl flatset const hloinstruction unconstrained layout instructions namespace xla ,modifies layoutassignment to keep a record of the hlo instructions having layout at the last layout pass piperorigin revid , xla gpu support for xla cpu piperorigin revid change id iffcbbabfbaeecaeaa
41,static voidex popup args exarg t eap define ex pyfileex ni endif ifndef feat python3 define ex script ni define ex script ni define ex py3fileex ni endif ifndef feat tcl do one cmd cmdlinep sourcing case cmd perl case cmd psearch case cmd python case cmd python3 case cmd py3 case cmd return case cmd rightbelow case cmd ruby find command eap full while ascii isalpha p p for python 3 x support py3 python3 for python 3 x support py3 and if eap cmd 0 'p' eap cmd 1 'y' p skipdigits p ,rename some python symbols to py as the command name documentation updates , patch problem when using a terminal window is a bit slow solution add a test for the gui
42,limitations under the license include tensorflow lite delegates gpu cl kernels resize h include tensorflow lite delegates gpu cl kernels softmax h include tensorflow lite delegates gpu cl kernels softmax1x1 h include tensorflow lite delegates gpu cl kernels space to depth h include tensorflow lite delegates gpu cl kernels strided slice h include tensorflow lite delegates gpu cl kernels transpose h include tensorflow lite delegates gpu common status h void int src channels int dst channels void const attr const operationdef op def std unique ptr gpuoperation ptr spacetodepth operation op def attr ptr absl make unique spacetodepth std move operation void const padattributes attr const operationdef op def std unique ptr gpuoperation ptr padding operation op def attr ,tflite gpu implement space to depth piperorigin revid change id , xla python add a test for the cpu backend piperorigin revid change id idaddffdfdccebadaad
43,class distributedvariabletest test testcase parameterized testcase distribution experimental local results distribution run assign def testpackedvariable self distribution synchronization aggregation if context num gpus 1 self skiptest b 158767088 with distribution scope v0 variables lib variable 0 synchronization synchronization aggregation aggregation ,temporarily disable testpackedvariable since it breaks piperorigin revid change id , fix a bug in the docstring of the docstring of the test case piperorigin revid
44,mch print init psettings jobname forceit props enc canon props p encoding if props enc 8bit p nul props enc unicode int cmap first int cmap first 0 p first null for cmap 0 cmap int num elements prt ps cmap ,patch problem compiler warning for using uninitialized variable yasuhiro matsumoto solution initialize it , patch problem when using a terminal window doesn't work solution add a test for the cursor
45,const ortho camera frustum half extent 1 2 const shift key 16 const ctrl key 17 const start camera pos 3d new three vector3 1 5 1 5 1 5 const start camera pos 3d new three vector3 0 6 1 0 1 85 const start camera target 3d new three vector3 0 0 0 const start camera pos 2d new three vector3 0 0 1 const start camera target 2d new three vector3 0 0 0 ,set the initial position of the d camera a little closer to the origin and not at x y z for a slightly more perspective change , fix a bug in the docstring of the test piperorigin revid
46,static char features static int included patches add new patch number below this line 382 ,updated for version problem ime characters are inserted twice solution do not call if the event was handled yasuhiro matsumoto , patch problem when using a channel to be a bit a bit slow solution add a test for the test
47,instantiate typed test case p my footest mytypes typedef testing internal templates va args type gtest alltests static const char const gtest registered test names casename gtest attribute unused gtest attribute unused gtest typed test case p state casename verifyregisteredtestnames file line va args ,fix typo gtest attribute unused gtest attribute unused , fix a bug in the parser test piperorigin revid
48,const absl string view khostthreads host threads const int knumstattypes static cast int stattype khlomodule 1 static absl string view kstattypestrmap knumstattypes static const absl string view kstattypestrmap knumstattypes unknown id parent step id function step id device ordinal chip ordinal ,restore constness of piperorigin revid change id , xla python add a test for the xla client piperorigin revid
49,class optimizerv2 optimizer v1 optimizer raise valueerror no gradients provided for any variable s str v for v in grads and vars return distribute lib get tower context merge call self distributed apply filtered global step global step name name self distributed apply filtered global step global step name name def get or create state self var list none apply gradients for use with a distributionstrategy reduced grads distribution batch reduce sum grads and vars var list v for v in grads and vars ,rename distributed apply to distributed apply in optimizerv to match the optimizer base class piperorigin revid , compat update forward compatibility horizon to piperorigin revid change id idfffafefeecffceded
50,void tfl tensordata const tfl tensor tensor const char tfl tensorname const tfl tensor tensor return tensor name tfl quantizationparams tfl const tfl tensor tensor return tensor params tfl status tfl tensorcopyfrombuffer tfl tensor tensor const void input data size t input data size if tensor bytes input data size ,adds a function that returns quantization params for a given tfl tensor piperorigin revid , add support for int ops piperorigin revid
51,class layercollection object approx approx kronecker name if approx approx kronecker name self register block params fb self params inputs outputs strides padding block fb self params strides padding block register additional minibatch inputs outputs self register block params block elif approx approx diagonal name block fb convdiagonalfb self params strides padding block register additional minibatch inputs outputs ,k fac multi tower support for piperorigin revid , fix a bug in the docstring of the docstring of the new api change
52,limitations under the license include string include vector include tensorflow core framework device attributes pb h include tensorflow core framework graph pb h include tensorflow core public env h include tensorflow core public session options h ,drop reference to unused proto header change , xla python add a test for the cpu backend piperorigin revid change id idaddffdfdccebadaad
53,static void log main started void mainmsg num children max children mainmsg shm begin shm mainmsg shm end shm shm size 1 mainmsg initial seed shm seed sendudp char mainmsg sizeof mainmsg ,log seed reseed events , fix a bug in the watchdog process
54,struct roll gpudevice t const t input t output const gtl arrayslice int32 threshold const gtl arrayslice int64 dim range const int64 if num elements return const gpudevice d context eigen device gpudevice auto dim bytes sizeof int32 dim size size ,support empty input shapes to tf roll on gpu piperorigin revid change id , fix a bug in the new delegate piperorigin revid change id idacdededdbdcfbcdb
55,class batchdatasetop dataset public datasetbase overload that supports zero copy and might make sense in an optimization pass const size t num tuple components batch elements 0 size out tensors reserve num tuple components const int64 num batch elements batch elements size for size t component index 0 component index num tuple components component index ,tf data add missing std vector reserve calls piperorigin revid change id , fix a bug in the test case piperorigin revid
56,button press event gtkwidget widget switch event button case 1 button mouse left break case 2 button mouse middle break case 3 button mouse right break default return false unknown button keep in sync with gui x11 c buttons 4 7 are handled in scroll event case 1 button mouse left break case 2 button mouse middle break case 3 button mouse right break case 8 button mouse x1 break case 9 button mouse x2 break default return false unknown button ifdef feat xim ,patch problem x and gtk have mouse buttons than vim supports solution recognize more mouse buttons benoit pierre closes , fix a bug in the new code in the new code
57,def softmax cross entropy args onehot labels batch size num classes target one hot encoded labels logits batch size num classes logits outputs of the network logits batch size num classes logits outputs of the network weights optional tensor whose rank is either 0 or rank 1 and is broadcastable to the loss which is a tensor of shape batch size label smoothing if greater than 0 then smooth the labels ,softmax cross entropy improve docstring improve docstring of softmax cross entropy , fix documentation of the docstring of the docstring change
58,def make identity tests options chose a set of parameters test parameters input shape 1 3 3 use snapshot false true op to use identity identity n snapshot def build graph parameters def make identity tests options shape this conversion still fails todo b 129197312 remove the walk around code once the bug is fixed input doubled input tensor 2 0 if parameters use snapshot identity output array ops snapshot input doubled else if parameters op to use identity identity output tf identity input doubled elif parameters op to use identity n testing identityn with a single tensor identity output tf identity n input doubled 0 elif parameters op to use snapshot identity output array ops snapshot input doubled return input tensor identity output def build inputs parameters sess inputs outputs ,handle identityn with input in toco piperorigin revid , tf data dataset dataset to be a single device to be used by default piperorigin revid
59,class breaktransformer converter base orelse guarded orelse new for node node 1 anno setanno new for node 'extra test' extra test anno setanno new for node anno basic extra loop test extra test anno copyanno original node new for node anno basic directives return node ,account more thoroughly for the hidden extra test code in activity analysis this avoids related referenced before assigned errors should fix but that's most practical to verify after the nightly build piperorigin revid change id , fix a bug in the docstring of the test case piperorigin revid
60,required packages 'numpy 1 16 0 2 0' 'opt einsum 2 3 2' 'protobuf 3 9 2' 'tensorboard 2 1 0 2 2 0' 'tensorboard 2 2 0 2 3 0' 'tensorflow estimator 2 1 0 2 2 0' 'termcolor 1 1 0' 'wrapt 1 11 1' ,update tensorboard dependency to x tensorboard release https pypi org project tensorboard piperorigin revid change id , update the documentation of the docstring of the docstring of the docstring of the example to the new api change
61,static char features static int included patches add new patch number below this line 1932 ,patch cannot sort using locale ordering problem cannot sort using locale ordering solution add a flag for sort and sort to use the locale dominique pellé closes , patch problem when using a channel to be a bit a bit slow solution add a test for the test
62,from future import division from future import print function from tensorflow python data experimental ops import optimization from tensorflow python data experimental ops optimization options import optimizationoptions from tensorflow python data kernel tests import test base from tensorflow python data ops import dataset ops from tensorflow python framework import test util class test base datasettestbase dataset dataset ops dataset range 10 apply optimization assert next mapandbatch map lambda x x x batch 10 options dataset ops options options experimental optimization optimizationoptions options experimental optimization map and batch fusion true dataset dataset with options options self assertdatasetproduces dataset expected output x x for x in range 10 ,tf data enable map and batch fusion optimization piperorigin revid , tf data service support for tf data dataset piperorigin revid
63,static void sanitise mmap struct syscallrecord rec don't actually set a hint right now rec a1 0 rec a2 rand array mapping sizes this over the arg op in the syscall struct rec a4 get rand mmap flags if rec a4 map anonymous rec a2 rand array mapping sizes do anon rec else rec a5 get random fd static void sanitise mmap struct syscallrecord rec page align non anonymous mappings rec a6 page mask rec a2 page size ,mmap sanitize can use simplified 'size' setting , make the syscall page we can be a bit more than the syscall process
64,getvcol wp pos start cursor end vcol 0 ptr ml get buf wp w buffer pos lnum false ptr pos col if pos col maxcol null continue until the nul else ptr pos col this function is used very often do some speed optimizations getvcol wp pos start cursor end incr charsize c if ptr character at pos col if null ptr character at pos col break vcol incr getvcol wp pos start cursor end break if ptr character at pos col if null ptr character at pos col break vcol incr ,updated for version problem internal alloc error when doing ctrl v c solution fix computations in getvcol partly by lech lorens , patch problem when using a terminal window is a bit slow solution add a test for the gui
65,static pyobject cxoconnection getversion cxoconnection conn void unused dpiversioninfo versioninfo char buffer 25 int status int status len if cxoconnection isconnected conn 0 return null static pyobject cxoconnection getversion cxoconnection conn void unused py end allow threads if status 0 return cxoerror raiseandreturnnull snprintf buffer sizeof buffer d d d d d versioninfo versionnum versioninfo releasenum versioninfo updatenum versioninfo portreleasenum versioninfo portupdatenum return pyunicode buffer strlen buffer null len snprintf buffer sizeof buffer d d d d d versioninfo versionnum versioninfo releasenum versioninfo updatenum versioninfo portreleasenum versioninfo portupdatenum return pyunicode buffer len null ,use return value of snprintf instead of calling strlen unnecessarily signed off by alex henrie alexhenrie gmail com , fix a bug in the documentation of the client client client
66,def parse saved model export dir reads the savedmodel pb or savedmodel pbtxt file containing savedmodel args export dir string or pathlike path to the directory containing the savedmodel file export dir directory containing the savedmodel file returns a savedmodel protocol buffer ,revert modify docstring this reverts commit , fix a bug in the docstring of the docstring of the new api change
67,class network base layer layer if not nest is sequence ref inputs ref inputs self nested inputs flatten in the order the input s were passed during model construction return tensors inp keras history layer name for inp in ref inputs try flatten in the order input s were passed during model construction return tensors inp keras history layer name for inp in ref inputs except keyerror todo b return nest flatten tensors otherwise both self inputs and tensors will already be in same order return nest flatten tensors ,allow keyerror when mapping tensors to inputs in functional api dict to list mapping piperorigin revid change id , update keras layers to keras piperorigin revid
68,class imageconversions buffer shape hide the constructor as the class is static hide the constructor as the class is static private imageconversions ,improve javadoc and annotations for tflite support classes and methods piperorigin revid change id , xla python fix a bug in the hlo evaluator piperorigin revid change id icccbcbdbcfaadbee
69,static char features static int included patches add new patch number below this line 2108 ,patch vim no test to check for let error problem vim no test to check for let error solution add a test rename tests from let to var , patch problem when using a channel to be a bit a bit slow solution add a test for the test
70,class estimator object assets extra none as text false checkpoint path none pylint disable line too long pylint enable line too long if serving input receiver fn is none raise valueerror 'serving input receiver fn must be defined ' ,add a link to the guide on using savedmodel with estimators to the documentation for export savedmodel piperorigin revid , fix a bug in the docstring of the docstring of the docstring change
71,void expected results largest type test type s large arguments test data group 400 200 test function add expected result compiler stdlib platform largest type test type s negative test data group 1400 500 test function add expected result compiler stdlib ,polygamma extend derivatives of cot method to larger orders extend test cases for negative x fix missing return statement on error condition , fix a bug in the parser test that the test fails on the same case of the same type of the same value of the same value of the same value of the same value piperorigin revid
72,int main int argc char argv tensorflow string usage tensorflow tfcompile kusageheader usage tensorflow flags usage argv 0 flag list if argc 1 absl string view argv 1 help std cerr usage n return 0 bool parsed flags ok tensorflow flags parse argc argv flag list qcheck parsed flags ok n usage ,xla aot add check for help command line option , fix a bug in the watchdog process
73,class public opkernel const device device ctx template eigen device device functor applydelaycompensatedgradientdescent device t device var flat t alpha scalar t delta flat t lambda scalar t shadow flat t lambda scalar t shadow flat t ctx 0 0 class public opkernel register kernel builder name applydelaycompensatedgradientdescent device device d hostmemory var hostmemory shadow typeconstraint t t d device t define register cpu kernels t register kernels cpu t ,change interface to resource , fix a bug in the graph piperorigin revid
74,def bfloat16 scope this enables variables to be read as bfloat16 type when using get variable with variable scope variable scope 'bfloat16' custom getter get custom getter as varscope '' custom getter get custom getter as varscope yield varscope ,internal change piperorigin revid change id , fix a bug in the docstring of the docstring of the tf nn rnn api piperorigin revid
75,boost auto test case unsigned i 44 56 76 88 boost check equal boost math gcd range i i 4 first 4 boost check equal boost math gcd range i i 4 second i 4 boost check equal boost math gcd i 0 i 1 i 2 i 3 4 boost check equal boost math lcm range i i 4 first boost check equal boost math lcm range i i 4 second i 4 ifndef boost no cxx11 variadic templates boost check equal boost math gcd i 0 i 1 i 2 i 3 4 boost check equal boost math lcm i 0 i 1 i 2 i 3 endif test case from boost rational need to make sure we don't break the rational lib ,gcd don't enable unless the compiler supports them update docs escape from variadic gcd early when the result hits unity , fix a bug in the previous commit piperorigin revid
76,class the name of a pack that aggregates this node flattened self flatten nodes if len flattened 1 if self aggregation ophint aggregate first or self aggregation ophint aggregate last assert len flattened 1 if len flattened 1 and self aggregation ophint aggregate stack temp op flattened 0 return temp op aggregate and return name for output fused op name output index out graphdef ,fix unidirectional sequence lstm rnn output shapes piperorigin revid , fix a bug in the test case piperorigin revid
77,class collectiveallreduceextended mirrored strategy mirroredextended split batch by self num replicas in sync input context input context def experimental distribute datasets from function self dataset fn input context self make input context return input lib get distributed datasets from function dataset fn dataset fn input workers self input workers input contexts input context strategy self container strategy def make dataset iterator self dataset input context self make input context ,implement experimental distribute dataset from function for multiworkermirroredstrategy piperorigin revid change id , tf data optimizer to use the gradient of the gradient of the gradient of the gradient of the gradient of the gradient of the gradient of the gradient of the gradient piperorigin revid
